GRIP Hydrogen Peroxide Concentrations

REFERENCES: 

De Angelis, M., J.P. Steffensen, M.R. Legrand, H.B. Clausen, and C.U.
Hammer. 1997. Primary aerosol (sea salt and soil dust) deposited in
Greenland ice during the last climatic cycle: Comparison with east
Antarctic records. Journal of Geophysical Research 102:26681-26698.

Steffensen, J.P. 1997. The size distribution of microparticles from
selected segments of the Greenland Ice Core Project ice core representing
different climatic periods. Journal of Geophysical Research 102:26755-26763

Sigg, A., T. Staffelbach, and A. Neftel. 1992. Gas-phase measurements of
hydrogen peroxide in Greenland and their meaning for the interpretation of
H2O2 records in ice cores. Journal of Atmospheric Chemistry 14:223-232.

DATA DESCRIPTION: 

A continuous melting technique, combined with continuous flow analysis,
has been developed for measurements of chemical trace species in ice cores
directly in the field (Sigg et al., 1994). A subcore with a cross section
area of 18x18mm2 cut from the main core is used for the simultaneous
analysis of the four components. The subcore is melted continuously from
one side at a constant rate. The main advantage of this method compared to
conventional sampling and analytical procedures of discrete samples are
given by the high spatial resolution (ca. 1cm for Hydrogen peroxide,
Ammonium and Formaldehyde; 3cm for Calcium) combined with a significant
reduction in sample handling. The spatial resolution is only limited by
the sample dispersion in the melting system and the analyser. The
detection limit for hydrogen peroxide is 1.7 ppb.  Ages are years before
1950.00, as calculated from the glaciological timescale (file
gripage.dat). 

DATA:		

Depth (m)	H2O2	Age
Midpoint	(ppb)	(years B.P.)

1593.075	8.5	11077.0
1593.625	6.39	11085.5
1594.175	20.07	11094.5
1594.725	9.79	11103.0
1595.275	20.55	11111.0
1595.825	13.99	11119.0
1596.375	8.67	11127.0
1596.925	10.35	11134.5
1597.475	18.57	11142.0
1598.025	34.98	11150.5
1598.575	7.7	11158.5
1599.125	21.18	11166.0
1599.675	13.51	11175.0
1600.225	20.77	11184.0
1600.775	36.13	11192.5
1601.325	23.62	11201.0
1601.875	28.99	11209.5
1602.425	45.76	11218.5
1602.975	28.49	11227.0
1603.525	13.13	11236.0
1604.075	15.95	11245.5
1604.625	24.22	11254.5
1605.175	30.43	11264.5
1605.725	17.4	11275.0
1606.275	36.89	11285.0
1606.825	7.8	11294.0
1607.375	52.78	11303.5
1607.925	26.4	11314.0
1608.475	21.08	11323.5
1609.025	21.57	11332.5
1609.575	30.64	11342.0
1610.125	24.5	11351.5
1610.675	37.68	11360.0
1611.225	30.18	11368.5
1611.775	27.51	11377.0
1612.325	40.68	11386.0
1612.875	35.33	11395.5
1613.425	61.95	11404.5
1613.975	61.55	11413.0
1614.525	24.1	11421.0
1615.075	25.07	11429.0
1615.625	23.01	11437.0
1616.175	30.06	11445.5
1616.725	51.06	11454.0
1617.275	42.34	11462.5
1617.825	46.66	11471.5
1618.375	40.18	11480.0
1618.925	34.68	11488.5
1619.475	37.42	11497.5
1620.025	38.41	11506.0
1620.575	29.69	11515.5
1621.125	24.15	11524.5
1621.675	30.75	11532.5
1622.225	27.26	11542.0
1622.775	28.25	11552.0
1623.325	13.11	11562.5
1623.875	2.58	11573.5
1624.425	0.76	11587.5
1624.975	1.29	11604.0
1625.525	2.99	11618.0
1626.075	0	11630.0
1626.625	0.33	11643.0
1627.175	0.26	11658.0
1627.725	0.82	11677.0
1628.275	0.75	11693.5
1628.825	0.88	11706.5
1629.375	0.54	11724.0
1629.925	0.98	11740.0
1630.475	0.96	11754.5
1631.025	0	11773.0
1631.575	0	11791.0
1632.125	1.31	11805.5
1632.675	0.89	11820.0
1633.225	0.88	11834.5
1633.775	1.29	11847.5
1634.325	0.33	11862.5
1634.875	2.04	11878.5
1635.425	0	11893.5
1635.975	0	11908.0
1636.525	0	11922.0
1637.075	2.21	11936.0
1637.625	3.28	11950.0
1638.175	4.53	11965.0
1638.725	2.5	11982.0
1639.275	2.09	11998.0
1639.825	1.77	12013.5
1640.375	0	12029.0
1640.925	0	12044.0
1641.475	0	12062.0
1642.025	0	12077.0
1642.575	0	12091.5
1643.125	0	12109.5
1643.675	0	12126.5
1644.225	0	12141.5
1644.775	0	12158.0
1645.325	0	12175.5
1645.875	0	12192.0
1646.425	0	12210.0
1646.975	0	12225.0
1647.525	0	12238.5
1648.075	0	12255.0
1648.625	0	12272.5
1649.175	0	12287.5
1649.725	0	12302.5
1650.275	0	12318.5
1650.825	0	12334.0
1651.375	0	12352.0
1651.925	0	12372.0
1652.475	0	12391.0
1653.025	0	12410.5
1653.575	0	12428.0
1654.125	0	12445.5
1654.675	0	12466.0
1655.225	0	12484.5
1655.775	0	12502.5
1656.325	0	12523.0
1656.875	0	12545.5
1657.425	0	12568.5
1657.975	0	12589.0
1658.525	0	12605.5
1659.075	0	12622.5
1659.625	0	12638.5
1660.175	0	12651.5
1660.725	1.23	12665.0
1661.275	5.48	12677.5
1661.825	9.2	12689.5
1662.375	16.16	12702.5
1662.925	14.97	12713.5
1663.475	6.57	12724.0
1664.025	29.82	12735.0
1664.575	5.38	12746.0
1665.125	7.48	12758.0
1665.675	4.59	12769.0
1666.225	13.55	12779.0
1666.775	4.44	12789.5
1667.325	9.52	12801.0
1667.875	4.13	12813.0
1668.425	3.91	12826.0
1668.975	3.95	12838.0
1669.525	4.82	12848.5
1670.075	3.67	12861.0
1670.625	7.48	12873.5
1671.175	5.5	12886.0
1671.725	1.26	12899.5
1672.275	1.61	12913.0
1672.825	8.95	12927.5
1673.375	2.61	12943.5
1673.925	0.57	12959.0
1674.475	1.47	12972.0
1675.025	1.39	12987.0
1675.575	0.38	13003.0
1676.125	0.17	13018.0
1676.675	0.53	13032.5
1677.225	2.06	13045.5
1677.775	1.75	13058.5
1678.325	3.9	13072.0
1678.875	28.92	13085.5
1679.425	7.18	13097.5
1679.975	6.33	13109.0
1680.525	5.83	13122.5
1681.075	7.65	13136.0
1681.625	16.75	13147.5
