Depth (m)	Ca	Age
Midpoint	(ppb)	(yr B.P.)

1545.225	7.60	10400.5
1545.775	5.60	10408.0
1546.325	8.00	10415.5
1546.875	10.80	10423.0
1547.425	7.60	10430.5
1547.975	10.00	10437.5
1548.525	9.60	10444.5
1549.075	6.80	10451.5
1549.625	10.00	10458.5
1550.175	5.60	10465.5
1550.725	7.60	10472.5
1551.275	6.40	10479.5
1551.825	5.20	10487.0
1552.375	7.20	10494.5
1552.925	6.40	10501.5
1553.475	6.80	10508.5
1554.025	6.40	10515.5
1554.575	7.20	10523.0
1555.125	9.20	10531.0
1555.675	6.00	10538.5
1556.225	8.40	10545.0
1556.775	9.60	10552.0
1557.325	8.00	10560.0
1557.875	8.40	10567.5
1558.425	7.60	10575.0
1558.975	10.40	10583.0
1559.525	8.40	10590.5
1560.075	9.20	10598.0
1560.625	9.60	10605.5
1561.175	7.20	10612.5
1561.725	6.00	10619.5
1562.275	5.20	10626.5
1562.825	6.00	10634.0
1563.375	8.00	10642.0
1563.925	11.20	10649.5
1564.475	8.40	10657.0
1565.025	6.40	10664.5
1565.575	8.80	10672.5
1566.125	8.40	10681.5
1566.675	8.00	10689.5
1567.225	8.40	10697.0
1567.775	10.80	10705.0
1568.325	6.40	10713.0
1568.875	12.80	10721.0
1569.425	10.80	10729.0
1569.975	8.40	10737.0
1570.525	8.80	10745.0
1571.075	9.20	10752.5
1571.625	7.20	10760.0
1572.175	7.20	10768.0
1572.725	12.00	10776.0
1573.275	8.40	10784.0
1573.825	7.60	10792.0
1574.375	8.00	10800.0
1574.925	9.20	10808.0
1575.475	999999	10816.0
1576.025	8.80	10824.0
1576.575	10.40	10832.5
1577.125	13.20	10840.5
1577.675	10.00	10847.5
1578.225	8.00	10855.0
1578.775	10.80	10863.0
1579.325	10.40	10871.0
1579.875	11.20	10878.5
1580.425	10.80	10886.0
1580.975	8.40	10894.0
1581.525	8.00	10902.0
1582.075	11.20	10910.0
1582.625	9.60	10917.5
1583.175	13.20	10925.0
1583.725	12.00	10934.0
1584.275	10.40	10943.0
1584.825	8.80	10951.0
1585.375	6.80	10959.5
1585.925	8.80	10968.0
1586.475	8.80	10976.0
1587.025	8.80	10984.0
1587.575	9.20	10992.0
1588.125	7.60	11000.5
1588.675	6.80	11010.0
1589.225	6.80	11018.5
1589.775	10.80	11026.5
1590.325	11.20	11035.0
1590.875	10.80	11043.0
1591.425	11.20	11052.0
1591.975	12.40	11061.0
1592.525	11.20	11069.0
1593.075	9.20	11077.0
1593.625	11.20	11085.5
1594.175	8.00	11094.5
1594.725	9.20	11103.0
1595.275	7.60	11111.0
1595.825	6.80	11119.0
1596.375	10.80	11127.0
1596.925	8.80	11134.5
1597.475	8.80	11142.0
1598.025	8.00	11150.5
1598.575	13.20	11158.5
1599.125	14.80	11166.0
1599.675	15.20	11175.0
1600.225	10.40	11184.0
1600.775	16.00	11192.5
1601.325	12.00	11201.0
1601.875	12.80	11209.5
1602.425	10.40	11218.5
1602.975	13.60	11227.0
1603.525	12.40	11236.0
1604.075	9.20	11245.5
1604.625	7.60	11254.5
1605.175	20.00	11264.5
1605.725	18.40	11275.0
1606.275	18.80	11285.0
1606.825	25.60	11294.0
1607.375	19.20	11303.5
1607.925	12.80	11314.0
1608.475	20.40	11323.5
1609.025	25.60	11332.5
1609.575	21.20	11342.0
1610.125	15.60	11351.5
1610.675	14.80	11360.0
1611.225	17.20	11368.5
1611.775	30.40	11377.0
