NEEM bottom depth;Age at bottom of sample;Acc mean;Acc min;Acc max;2 sigma
(m);(years b2k);(m/year i.e.);(m/year i.e.);(m/year i.e.);(m/year i.e.)
708.49;3720;0.2314;0.2237;0.2379;0.0150
711.50;3740;0.2302;0.2237;0.2363;0.0130
714.52;3760;0.2312;0.2250;0.2375;0.0130
717.52;3780;0.2318;0.2260;0.2382;0.0129
720.55;3800;0.2331;0.2270;0.2400;0.0138
723.55;3820;0.2327;0.2262;0.2401;0.0146
726.54;3840;0.2325;0.2255;0.2401;0.0153
729.49;3860;0.2306;0.2226;0.2396;0.0180
732.42;3880;0.2300;0.2218;0.2393;0.0184
735.32;3900;0.2294;0.2200;0.2397;0.0205
738.24;3920;0.2298;0.2204;0.2386;0.0188
741.08;3940;0.2257;0.2158;0.2352;0.0200
743.90;3960;0.2267;0.2148;0.2390;0.0249
746.74;3980;0.2294;0.2159;0.2433;0.0280
749.69;4000;0.2340;0.2188;0.2488;0.0304
752.63;4020;0.2347;0.2195;0.2499;0.0307
755.63;4040;0.2368;0.2209;0.2519;0.0317
758.60;4060;0.2350;0.2192;0.2503;0.0316
761.57;4080;0.2363;0.2218;0.2500;0.0286
764.54;4100;0.2345;0.2227;0.2452;0.0231
767.46;4120;0.2320;0.2212;0.2418;0.0211
770.27;4140;0.2278;0.2186;0.2366;0.0188
773.06;4160;0.2273;0.2175;0.2360;0.0195
775.80;4180;0.2255;0.2171;0.2335;0.0172
778.53;4200;0.2257;0.2167;0.2338;0.0182
781.23;4220;0.2261;0.2147;0.2350;0.0219
783.98;4240;0.2291;0.2173;0.2378;0.0222
786.72;4260;0.2292;0.2175;0.2376;0.0218
789.50;4280;0.2310;0.2197;0.2383;0.0201
792.26;4300;0.2300;0.2183;0.2379;0.0209
794.98;4320;0.2277;0.2162;0.2360;0.0211
797.72;4340;0.2295;0.2176;0.2383;0.0218
800.50;4360;0.2313;0.2211;0.2402;0.0197
803.23;4380;0.2281;0.2186;0.2369;0.0189
805.97;4400;0.2285;0.2194;0.2378;0.0189
808.64;4420;0.2253;0.2154;0.2364;0.0219
811.30;4440;0.2248;0.2149;0.2361;0.0220
813.92;4460;0.2232;0.2126;0.2360;0.0245
816.48;4480;0.2204;0.2098;0.2327;0.0243
818.98;4500;0.2190;0.2078;0.2316;0.0252
821.53;4520;0.2213;0.2093;0.2339;0.0261
824.06;4540;0.2217;0.2090;0.2355;0.0282
826.64;4560;0.2264;0.2136;0.2404;0.0285
829.22;4580;0.2278;0.2140;0.2423;0.0301
831.87;4600;0.2316;0.2192;0.2442;0.0267
834.55;4620;0.2305;0.2167;0.2445;0.0293
837.19;4640;0.2281;0.2142;0.2427;0.0301
839.78;4660;0.2265;0.2124;0.2410;0.0302
842.39;4680;0.2269;0.2130;0.2400;0.0284
844.92;4700;0.2236;0.2072;0.2368;0.0311
847.54;4720;0.2278;0.2108;0.2412;0.0319
850.15;4740;0.2282;0.2106;0.2411;0.0320
852.77;4760;0.2303;0.2159;0.2411;0.0265
855.40;4780;0.2319;0.2176;0.2412;0.0252
858.01;4800;0.2322;0.2161;0.2433;0.0287
860.62;4820;0.2322;0.2167;0.2430;0.0277
863.24;4840;0.2317;0.2184;0.2423;0.0250
865.78;4860;0.2255;0.2111;0.2375;0.0274
868.28;4880;0.2232;0.2075;0.2375;0.0309
870.71;4900;0.2222;0.2031;0.2396;0.0373
873.15;4920;0.2235;0.2043;0.2420;0.0381
875.64;4940;0.2249;0.2073;0.2427;0.0358
878.06;4960;0.2240;0.2031;0.2437;0.0415
880.52;4980;0.2272;0.2078;0.2453;0.0384
883.00;5000;0.2303;0.2146;0.2460;0.0324
885.47;5020;0.2313;0.2161;0.2459;0.0307
887.97;5040;0.2340;0.2187;0.2494;0.0316
890.53;5060;0.2370;0.2218;0.2520;0.0311
893.08;5080;0.2358;0.2216;0.2500;0.0294
895.70;5100;0.2386;0.2263;0.2527;0.0270
898.33;5120;0.2396;0.2266;0.2534;0.0275
900.95;5140;0.2395;0.2260;0.2525;0.0273
903.59;5160;0.2411;0.2288;0.2536;0.0258
906.28;5180;0.2410;0.2314;0.2502;0.0199
908.88;5200;0.2371;0.2286;0.2451;0.0178
911.49;5220;0.2371;0.2289;0.2442;0.0163
914.03;5240;0.2327;0.2253;0.2384;0.0141
916.52;5260;0.2300;0.2231;0.2356;0.0133
918.99;5280;0.2281;0.2218;0.2343;0.0133
921.41;5300;0.2270;0.2178;0.2356;0.0183
923.83;5320;0.2268;0.2175;0.2362;0.0193
926.26;5340;0.2284;0.2183;0.2397;0.0220
928.69;5360;0.2293;0.2187;0.2411;0.0230
931.13;5380;0.2303;0.2195;0.2425;0.0235
933.59;5400;0.2321;0.2208;0.2455;0.0253
936.07;5420;0.2342;0.2233;0.2466;0.0237
938.60;5440;0.2348;0.2268;0.2442;0.0178
941.08;5460;0.2337;0.2260;0.2428;0.0173
943.57;5480;0.2328;0.2265;0.2399;0.0137
946.03;5500;0.2322;0.2262;0.2393;0.0136
948.48;5520;0.2297;0.2223;0.2379;0.0160
950.90;5540;0.2284;0.2215;0.2361;0.0151
953.30;5560;0.2271;0.2203;0.2349;0.0152
955.67;5580;0.2252;0.2185;0.2334;0.0155
958.02;5600;0.2252;0.2178;0.2337;0.0165
960.34;5620;0.2250;0.2156;0.2346;0.0196
962.64;5640;0.2238;0.2140;0.2341;0.0209
964.92;5660;0.2257;0.2156;0.2357;0.0213
967.17;5680;0.2253;0.2135;0.2356;0.0234
969.44;5700;0.2280;0.2154;0.2391;0.0250
971.69;5720;0.2287;0.2144;0.2401;0.0273
973.95;5740;0.2279;0.2145;0.2389;0.0263
976.19;5760;0.2277;0.2140;0.2382;0.0266
978.46;5780;0.2300;0.2167;0.2396;0.0251
980.75;5800;0.2309;0.2189;0.2399;0.0230
983.07;5820;0.2331;0.2224;0.2426;0.0221
985.40;5840;0.2339;0.2227;0.2431;0.0226
987.75;5860;0.2345;0.2243;0.2432;0.0208
990.08;5880;0.2336;0.2228;0.2427;0.0216
992.36;5900;0.2305;0.2180;0.2419;0.0251
994.62;5920;0.2289;0.2166;0.2402;0.0248
996.87;5940;0.2281;0.2158;0.2403;0.0255
999.11;5960;0.2263;0.2145;0.2376;0.0240
1001.27;5980;0.2201;0.2078;0.2333;0.0262
1003.42;6000;0.2185;0.2067;0.2316;0.0255
1005.58;6020;0.2190;0.2077;0.2307;0.0237
1007.80;6040;0.2201;0.2095;0.2302;0.0219
1009.97;6060;0.2172;0.2051;0.2296;0.0260
1012.15;6080;0.2166;0.2049;0.2279;0.0247
1014.32;6100;0.2183;0.2055;0.2314;0.0279
1016.52;6120;0.2192;0.2033;0.2325;0.0319
1018.69;6140;0.2178;0.2002;0.2338;0.0365
1020.83;6160;0.2186;0.2001;0.2353;0.0382
1022.99;6180;0.2224;0.2065;0.2386;0.0347
1025.19;6200;0.2270;0.2104;0.2444;0.0368
1027.42;6220;0.2305;0.2132;0.2483;0.0379
1029.63;6240;0.2295;0.2116;0.2471;0.0379
1031.83;6260;0.2322;0.2187;0.2479;0.0308
1034.05;6280;0.2349;0.2214;0.2497;0.0296
1036.33;6300;0.2387;0.2228;0.2560;0.0343
1038.58;6320;0.2365;0.2214;0.2527;0.0322
1040.83;6340;0.2348;0.2208;0.2492;0.0291
1043.04;6360;0.2327;0.2202;0.2465;0.0268
1045.25;6380;0.2320;0.2207;0.2440;0.0237
1047.43;6400;0.2310;0.2185;0.2430;0.0253
1049.66;6420;0.2319;0.2207;0.2427;0.0227
1051.79;6440;0.2262;0.2154;0.2362;0.0218
1053.90;6460;0.2276;0.2145;0.2397;0.0261
1056.03;6480;0.2276;0.2153;0.2380;0.0236
1058.12;6500;0.2275;0.2135;0.2392;0.0266
1060.22;6520;0.2289;0.2145;0.2419;0.0286
1062.32;6540;0.2283;0.2143;0.2411;0.0279
1064.38;6560;0.2278;0.2143;0.2408;0.0279
1066.52;6580;0.2318;0.2197;0.2444;0.0259
1068.66;6600;0.2312;0.2213;0.2417;0.0216
1070.79;6620;0.2317;0.2213;0.2437;0.0236
1072.94;6640;0.2330;0.2233;0.2444;0.0224
1075.09;6660;0.2334;0.2235;0.2454;0.0234
1077.30;6680;0.2376;0.2266;0.2511;0.0256
1079.51;6700;0.2380;0.2270;0.2509;0.0247
1081.71;6720;0.2373;0.2273;0.2493;0.0228
1083.88;6740;0.2360;0.2254;0.2491;0.0247
1086.06;6760;0.2367;0.2257;0.2506;0.0261
1088.21;6780;0.2358;0.2255;0.2493;0.0251
1090.36;6800;0.2346;0.2256;0.2459;0.0214
1092.46;6820;0.2331;0.2250;0.2451;0.0215
1094.59;6840;0.2347;0.2252;0.2468;0.0235
1096.71;6860;0.2368;0.2253;0.2529;0.0301
1098.88;6880;0.2404;0.2275;0.2562;0.0314
1101.02;6900;0.2374;0.2251;0.2523;0.0298
1103.13;6920;0.2353;0.2215;0.2503;0.0314
1105.21;6940;0.2349;0.2194;0.2516;0.0347
1107.31;6960;0.2352;0.2196;0.2502;0.0329
1109.37;6980;0.2332;0.2186;0.2486;0.0319
1111.39;7000;0.2283;0.2153;0.2402;0.0262
1113.36;7020;0.2272;0.2138;0.2426;0.0305
1115.38;7040;0.2315;0.2152;0.2493;0.0357
1117.48;7060;0.2378;0.2175;0.2584;0.0429
1119.60;7080;0.2377;0.2183;0.2574;0.0411
1121.68;7100;0.2355;0.2177;0.2546;0.0387
1123.76;7120;0.2348;0.2176;0.2531;0.0373
1125.85;7140;0.2370;0.2202;0.2559;0.0378
1127.96;7160;0.2368;0.2210;0.2525;0.0327
1130.06;7180;0.2358;0.2223;0.2496;0.0285
1132.08;7200;0.2306;0.2232;0.2404;0.0180
1134.08;7220;0.2296;0.2221;0.2387;0.0173
1136.06;7240;0.2302;0.2214;0.2407;0.0201
1138.07;7260;0.2341;0.2220;0.2493;0.0284
1140.08;7280;0.2346;0.2223;0.2488;0.0273
1142.08;7300;0.2364;0.2227;0.2543;0.0333
1144.12;7320;0.2373;0.2230;0.2551;0.0337
1146.13;7340;0.2369;0.2220;0.2552;0.0348
1148.16;7360;0.2390;0.2228;0.2606;0.0398
1150.21;7380;0.2403;0.2244;0.2615;0.0390
1152.23;7400;0.2363;0.2215;0.2543;0.0342
1154.22;7420;0.2358;0.2214;0.2543;0.0345
1156.23;7440;0.2350;0.2211;0.2501;0.0297
1158.21;7460;0.2345;0.2206;0.2499;0.0301
1160.22;7480;0.2391;0.2214;0.2584;0.0379
1162.27;7500;0.2385;0.2217;0.2549;0.0337
1164.28;7520;0.2374;0.2205;0.2546;0.0348
1166.34;7540;0.2415;0.2220;0.2614;0.0402
1168.41;7560;0.2406;0.2210;0.2608;0.0407
1170.40;7580;0.2353;0.2147;0.2560;0.0424
1172.38;7600;0.2346;0.2145;0.2547;0.0413
1174.29;7620;0.2282;0.2111;0.2457;0.0358
1176.17;7640;0.2301;0.2119;0.2518;0.0420
1178.10;7660;0.2326;0.2130;0.2535;0.0429
1179.98;7680;0.2286;0.2135;0.2450;0.0339
1181.82;7700;0.2270;0.2112;0.2425;0.0337
1183.68;7720;0.2313;0.2153;0.2492;0.0361
1185.62;7740;0.2374;0.2162;0.2569;0.0442
1187.61;7760;0.2427;0.2206;0.2629;0.0458
1189.60;7780;0.2423;0.2212;0.2609;0.0429
1191.58;7800;0.2422;0.2218;0.2609;0.0418
1193.56;7820;0.2442;0.2226;0.2652;0.0456
1195.59;7840;0.2476;0.2269;0.2682;0.0441
1197.62;7860;0.2462;0.2276;0.2630;0.0383
1199.54;7880;0.2391;0.2262;0.2531;0.0285
1201.43;7900;0.2357;0.2244;0.2476;0.0251
1203.29;7920;0.2335;0.2215;0.2445;0.0240
1205.11;7940;0.2327;0.2206;0.2460;0.0269
1206.93;7960;0.2311;0.2201;0.2423;0.0234
1208.72;7980;0.2287;0.2185;0.2395;0.0221
1210.51;8000;0.2291;0.2186;0.2418;0.0245
1212.28;8020;0.2270;0.2161;0.2397;0.0251
1214.03;8040;0.2275;0.2154;0.2434;0.0298
1215.80;8060;0.2265;0.2160;0.2409;0.0267
1217.52;8080;0.2230;0.2119;0.2369;0.0263
1219.21;8100;0.2216;0.2101;0.2371;0.0288
1220.86;8120;0.2196;0.2059;0.2374;0.0332
1222.49;8140;0.2150;0.2005;0.2315;0.0327
1224.10;8160;0.2112;0.1970;0.2286;0.0333
1225.67;8180;0.2040;0.1894;0.2206;0.0323
1227.17;8200;0.1990;0.1823;0.2167;0.0356
1228.67;8220;0.1967;0.1812;0.2125;0.0325
1230.19;8240;0.1981;0.1775;0.2182;0.0415
1231.76;8260;0.2006;0.1770;0.2212;0.0456
1233.33;8280;0.2013;0.1794;0.2215;0.0431
1234.90;8300;0.2037;0.1811;0.2245;0.0444
