GRIP Depth Age Scale from Flow Modeling

REFERENCES: 

Johnsen, S.J., H.B. Clausen, W. Dansgaard, N.S. Gundestrup, C.U. Hammer, U.
Andersen, K.K. Andersen, C.S. Hvidberg, D. Dahl-Jensen, J.P. Steffensen, H.
Shoji, A.E. Sveinbjörnsdóttir, J.W.C. White, J. Jouzel, and D. Fisher.
1997. The d18O record along the Greenland Ice Core Pproject deep ice core
and the problem of possible Eemian climatic instability. Journal of
Geophysical Research 102:26397-26410.

DATA DESCRIPTION: 

This file contains the GRIP timescale ss09.  This is one of several
published depth age scales for the GRIP core.  It is based on a
Dansgaard-Johnsen (1969) type flow model, with a 1500 m lower shear layer,
13.5% bottom sliding and accumulation rates which are a function of the
d18O values: 23.0 cm of ice at -35.2 per mil with 8% and 18% change per
per mil at -35.2 per mil and -40 per mil, respectively.  The d18O values
are given in the file gripd18O.dat.  See also the stratigraphic ages by
Hammer et al. (1997), presented in the file gripstrat.dat. 

IMPORTANT NOTE: for most of the GRIP files on this CDROM, we have used
this timescale.  In some cases, ages were provided and these are not
necessarily on identical timescales.  Please refer to the document "A
note on the timescales" for more information. 

DATA: 

Depth (m)	Age (yrs BP)
385.00	1657.7
385.55	1660.6
386.10	1663.1
386.65	1665.8
387.20	1668.9
387.75	1671.8
388.30	1674.8
388.85	1677.6
389.40	1680.4
389.95	1683.1
390.50	1685.7
391.05	1688.5
391.60	1691.3
392.15	1694.1
392.70	1696.9
393.25	1699.7
393.80	1702.4
394.35	1705
394.90	1708.1
395.45	1710.7
396.00	1713.3
396.55	1716.3
397.10	1719
397.65	1722.1
398.20	1725
398.75	1727.8
399.30	1730.5
399.85	1733.6
400.40	1736.6
400.95	1739.5
401.50	1742.2
402.05	1745.4
402.60	1748.4
403.15	1751.2
403.70	1754.4
404.25	1757.3
404.80	1759.9
405.35	1762.6
405.90	1765.3
406.45	1768
407.00	1770.8
407.55	1773.6
408.10	1776.4
408.65	1779.4
409.20	1782.2
409.75	1785.2
410.30	1788.1
410.85	1790.9
411.40	1793.8
411.95	1796.9
412.50	1800.1
413.05	1803
413.60	1805.8
414.15	1808.7
414.70	1811.4
415.25	1814.4
415.80	1817
416.35	1819.8
416.90	1822.7
417.45	1825.4
418.00	1828.3
418.55	1831.1
419.10	1833.9
419.65	1836.7
420.20	1839.5
420.75	1842.5
421.30	1845.5
421.85	1848.2
422.40	1851
422.95	1853.9
423.50	1856.6
424.05	1859.5
424.60	1862.2
425.15	1864.9
425.70	1867.9
426.25	1870.6
426.80	1873.5
427.35	1876.3
427.90	1879.1
428.45	1881.9
429.00	1884.6
429.55	1887.4
430.10	1890.1
430.65	1892.9
431.20	1895.7
431.75	1898.5
432.30	1901.2
432.85	1903.8
433.40	1906.5
433.95	1909.4
434.50	1912
435.05	1914.8
435.60	1917.7
436.15	1920.7
436.70	1923.6
437.25	1926.2
437.80	1929
438.35	1931.6
438.90	1934.2
439.45	1937
440.00	1940
440.55	1943
441.10	1945.9
441.65	1948.7
442.20	1951.5
442.75	1954.5
443.30	1957.2
443.85	1960.2
444.40	1963.1
444.95	1966.1
445.50	1968.9
446.05	1971.8
446.60	1974.9
447.15	1977.7
447.70	1980.4
448.25	1983.1
448.80	1986
449.35	1988.9
449.90	1991.7
450.45	1994.6
451.00	1997.5
451.55	2000.2
452.10	2003
452.65	2005.7
453.20	2008.4
453.75	2011.2
454.30	2014.1
454.85	2017
455.40	2019.9
455.95	2023.5
456.50	2026.4
457.05	2029.6
457.60	2032.6
458.15	2035.3
458.70	2038
459.25	2041.1
459.80	2044.4
460.35	2047.5
460.90	2050.6
461.45	2053.4
462.00	2056.2
462.55	2058.8
463.10	2061.8
463.65	2064.7
464.20	2067.7
464.75	2070.6
465.30	2073.5
465.85	2076.4
466.40	2079.2
466.95	2081.9
467.50	2084.6
468.05	2087.5
468.60	2090.5
469.15	2093.6
469.70	2096.8
470.25	2099.8
470.80	2102.6
471.35	2105.6
471.90	2108.5
472.45	2111.5
473.00	2114.3
473.55	2117.2
474.10	2120.1
474.65	2122.9
475.20	2125.9
475.75	2128.9
476.30	2131.6
476.85	2134.7
477.40	2137.5
477.95	2140.4
478.50	2143.2
479.05	2146.1
479.60	2148.9
480.15	2151.9
480.70	2154.9
481.25	2157.9
481.80	2160.7
482.35	2163.9
482.90	2167
483.45	2169.9
484.00	2172.8
484.55	2175.7
485.10	2178.9
485.65	2182
486.20	2185.2
486.75	2188.1
487.30	2191.3
487.85	2194
488.40	2196.9
488.95	2199.8
489.50	2202.6
490.05	2205.4
490.60	2208.3
491.15	2211.7
491.70	2214.5
492.25	2217.1
492.80	2219.8
493.35	2222.5
493.90	2225.6
494.45	2228.5
495.00	2231.7
495.55	2234.3
496.10	2237.2
496.65	2240.1
497.20	2243.1
497.75	2245.8
498.30	2248.6
498.85	2251.5
499.40	2254.4
499.95	2257.3
500.50	2260.2
501.05	2263.1
501.60	2265.9
502.15	2268.9
502.70	2271.7
503.25	2274.8
503.80	2277.7
504.35	2281.1
504.90	2283.9
505.45	2286.7
506.00	2289.7
506.55	2292.8
507.10	2295.8
507.65	2298.7
508.20	2301.9
508.75	2305.1
509.30	2308.1
509.85	2311.2
510.40	2314.3
510.95	2317.2
511.50	2320
512.05	2322.7
512.60	2325.7
513.15	2328.7
513.70	2331.6
514.25	2334.5
514.80	2337.7
515.35	2340.8
515.90	2343.8
516.45	2346.6
517.00	2349.5
517.55	2352.3
518.10	2354.9
518.65	2357.6
519.20	2360.5
519.75	2363.5
520.30	2366.8
520.85	2369.9
521.40	2373
521.95	2375.8
522.50	2378.6
523.05	2381.4
523.60	2384.3
524.15	2387.1
524.70	2389.9
525.25	2392.9
525.80	2396.4
526.35	2399.3
526.90	2402.3
527.45	2405.3
528.00	2408.6
528.55	2411.4
529.10	2414.3
529.65	2417.5
530.20	2420.4
530.75	2423.4
531.30	2426.1
531.85	2429.5
532.40	2432.5
532.95	2435.3
533.50	2438.4
534.05	2441.5
534.60	2444.4
535.15	2447.3
535.70	2450.1
536.25	2453.1
536.80	2456
537.35	2458.8
537.90	2462
538.45	2464.9
539.00	2467.9
539.55	2470.9
540.10	2474.1
540.65	2477.3
541.20	2480.4
541.75	2483.2
542.30	2486.1
542.85	2488.9
543.40	2491.7
543.95	2494.6
544.50	2497.4
545.05	2500.3
545.60	2503.1
