GISP2 Laser Light Scattering 1 meter and 1/2 meter averages

REFERENCES: 

Ram, M., and G. Koenig. 1997. Continuous dust concentration profile of pre
Holocene ice from the Greenland Ice Sheet Project 2 ice core: Dust
stadials, interstadials, and the Eemian. Journal of Geophysical Research
102:26641-26648.

Ram, M., M. Illing, P. Weber, G. Koenig, and M. Kaplan. 1995. Polar ice
stratigraphy from laser-light scattering: Scattering from ice. Geophysical
Research Letters 22:3525-3527.

Ram, M., and M. Illing. 1994. Polar ice stratigraphy from laser-light
scattering: scattering from meltwater. Journal of Glaciology 40:504-508.

DATA DESCRIPTION: 

These data are a compilation of the detailed solid ice laser light
scattering (LLS) files.  They are essentially 1 meter averages (every 500
data points of the LLS files averaged) above 2100 meters and 1/2 meter
averages below 2100 meters. There are several gaps in the data throughout
the record.  See the file lightinfo.txt for more information. 

DATA:

Depth	LLS	Age
Top (m)	relative intensity	(yr BP 1950)

2053.40	72.4	27704
2054.10	71.8	27741
2054.90	61.7	27785
2055.60	68.6	27822
2056.40	165.2	27869
2057.10	304.5	27914
2057.90	359.1	27979
2058.60	339.3	28034
2059.40	369.0	28097
2060.20	332.8	28158
2060.90	325.6	28210
2061.70	316.1	28266
2062.40	372.0	28314
2063.20	421.1	28367
2063.90	363.3	28411
2064.70	417.1	28460
2065.40	335.2	28503
2066.20	258.0	28550
2067.00	198.8	28590
2067.70	188.0	28631
2068.50	85.3	28677
2069.20	88.6	28713
2070.00	80.1	28751
2070.80	69.4	28789
2071.50	61.2	28821
2072.30	62.6	28857
2073.00	55.8	28891
2073.80	72.5	28931
2074.50	100.7	28966
2075.30	85.6	29003
2076.10	166.4	29038
2076.90	254.6	29082
2077.60	280.0	29124
2078.40	310.6	29175
2079.10	450.4	29221
2079.90	402.6	29271
2080.70	391.5	29319
2081.40	451.2	29362
2082.20	507.7	29413
2082.90	478.5	29461
2083.70	470.1	29524
2084.40	393.5	29578
2085.20	592.9	29640
2085.90	456.4	29698
2086.70	446.2	29757
2087.50	611.1	29810
2088.20	357.6	29852
2089.00	448.2	29900
2089.70	498.0	29947
2090.50	458.8	30000
2091.30	407.1	30053
2092.00	545.9	30102
2092.80	541.0	30155
2093.60	605.2	30207
2094.30	420.0	30253
2095.10	385.4	30305
2095.80	346.4	30350
2096.60	290.1	30403
2097.30	212.7	30450
