Laser	Light	Scattering	(SOLID)
Depth	Average
1851.582	482
1851.584	154
1851.586	92
1851.588	84
1851.590	100
1851.592	95
1851.594	150
1851.596	225
1851.598	284
1851.600	281
1851.602	188
1851.604	130
1851.606	135
1851.608	136
1851.610	137
1851.612	130
1851.614	137
1851.616	177
1851.618	237
1851.620	302
1851.622	566
1851.624	630
1851.626	675
1851.628	711
1851.630	678
1851.632	334
1851.634	195
1851.636	203
1851.638	212
1851.640	139
1851.642	108
1851.644	216
1851.646	327
1851.648	275
1851.650	180
1851.652	154
1851.654	169
1851.656	175
1851.658	334
1851.660	647
1851.662	405
1851.664	197
1851.666	227
1851.668	312
1851.670	336
1851.672	350
1851.674	310
1851.676	203
1851.678	151
1851.680	143
1851.682	133
1851.684	146
1851.686	158
1851.688	142
1851.690	125
1851.692	222
1851.694	549
1851.696	694
1851.698	703
1851.700	591
1851.702	329
1851.704	276
1851.706	286
1851.708	282
1851.710	256
1851.712	257
1851.714	285
1851.716	270
1851.718	284
1851.720	268
1851.722	269
1851.724	269
1851.726	286
1851.728	326
1851.730	380
1851.732	463
1851.734	246
1851.736	207
1851.738	219
1851.740	190
1851.742	132
1851.744	112
1851.746	111
1851.748	113
1851.750	103
1851.752	150
1851.754	280
1851.756	342
1851.758	361
1851.760	384
1851.762	392
1851.764	358
1851.766	240
1851.768	195
1851.770	150
1851.772	186
1851.774	208
1851.776	138
1851.778	129
1851.780	114
1851.782	102
1851.784	124
1851.786	148
1851.788	138
1851.790	246
1851.792	199
1851.794	116
1851.796	81
1851.798	79
1851.800	91
1851.802	102
1851.804	91
1851.806	107
1851.808	102
1851.810	110
1851.812	204
1851.814	305
1851.816	418
1851.818	626
1851.820	754
1851.822	795
1851.824	808
1851.826	728
1851.828	687
1851.830	688
1851.832	706
1851.834	764
1851.836	798
1851.838	790
1851.840	672
1851.842	526
1851.844	473
1851.846	338
1851.848	246
1851.850	373
1851.852	386
1851.854	355
1851.856	441
1851.858	443
1851.860	283
1851.862	246
1851.864	198
1851.866	218
1851.868	236
1851.870	246
1851.872	209
1851.874	202
1851.876	172
1851.878	139
1851.880	124
1851.882	110
1851.884	131
1851.886	135
1851.888	142
1851.890	153
1851.892	192
1851.894	226
1851.896	361
1851.898	414
1851.900	206
1851.902	154
1851.904	175
1851.906	137
1851.908	130
1851.910	121
1851.912	132
1851.914	129
1851.916	103
1851.918	116
1851.920	252
1851.922	377
1851.924	286
1851.926	143
1851.928	115
1851.930	112
1851.932	132
1851.934	135
1851.936	134
1851.938	131
1851.940	155
1851.942	145
1851.944	331
1851.946	525
1851.948	310
1851.950	158
1851.952	155
1851.954	86
1851.956	334
1851.958	466
1851.960	406
1851.962	380
1851.964	356
1851.966	330
1851.968	262
1851.970	142
1851.972	122
1851.974	179
1851.976	195
1851.978	213
1851.980	537
1851.982	469
1851.984	380
1851.986	553
1851.988	640
1851.990	239
1851.992	157
1851.994	165
1851.996	109
1852.002	396
1852.004	253
1852.006	211
1852.008	219
1852.010	276
1852.012	217
1852.014	145
1852.016	118
1852.018	98
1852.020	102
1852.022	287
1852.024	429
1852.026	650
1852.028	1065
1852.030	862
1852.032	227
1852.034	144
1852.036	116
1852.038	117
1852.040	128
1852.042	175
1852.044	235
1852.046	242
1852.048	237
1852.050	186
1852.052	122
1852.054	134
1852.056	242
1852.058	204
1852.060	147
1852.062	239
1852.064	197
1852.066	164
1852.068	152
1852.070	156
1852.072	165
1852.074	161
1852.076	182
1852.078	178
1852.080	139
1852.082	166
1852.084	153
1852.086	216
1852.088	270
1852.090	347
1852.092	576
1852.094	487
1852.096	233
1852.098	191
1852.100	190
1852.102	168
1852.104	181
1852.106	265
1852.108	374
1852.110	262
1852.112	262
1852.114	308
1852.116	370
1852.118	365
1852.120	369
1852.122	366
1852.124	316
1852.126	251
1852.128	194
1852.130	156
1852.132	138
1852.134	199
1852.136	260
1852.138	343
1852.140	365
1852.142	252
1852.144	218
1852.146	268
1852.148	300
1852.150	352
1852.152	302
1852.154	391
1852.156	348
1852.158	265
1852.160	158
1852.162	187
1852.164	286
1852.166	321
1852.168	353
1852.170	368
1852.172	345
1852.174	364
1852.176	351
1852.178	318
1852.180	313
1852.182	296
1852.184	306
1852.186	287
1852.188	347
1852.190	372
1852.192	333
1852.194	374
1852.196	506
1852.198	395
1852.200	284
1852.202	266
1852.204	330
1852.206	581
1852.208	722
1852.210	731
1852.212	779
1852.214	729
1852.216	387
1852.218	250
1852.220	301
1852.222	297
1852.224	293
1852.226	309
1852.228	242
1852.230	230
1852.232	230
1852.234	208
1852.236	194
1852.238	193
1852.240	244
1852.242	305
1852.244	325
1852.246	582
1852.248	942
1852.250	566
1852.252	316
1852.254	276
1852.256	273
1852.258	303
1852.260	367
1852.262	246
1852.264	170
1852.266	136
1852.268	125
1852.270	143
1852.272	262
1852.274	346
1852.276	247
1852.278	214
1852.280	212
1852.282	227
1852.284	226
1852.286	197
1852.288	188
1852.290	145
1852.292	142
1852.294	165
1852.296	158
1852.298	171
1852.300	130
1852.302	120
1852.304	108
1852.306	124
1852.308	156
1852.310	190
1852.312	271
1852.314	264
1852.316	241
1852.318	240
1852.320	314
1852.322	295
1852.324	172
1852.326	198
1852.328	250
1852.330	230
1852.332	210
1852.334	253
1852.336	264
1852.338	199
1852.340	150
1852.342	148
1852.344	163
1852.346	162
1852.348	186
1852.350	181
1852.352	167
1852.354	168
1852.356	166
1852.358	206
1852.360	271
1852.362	300
1852.364	287
1852.366	274
1852.368	380
1852.370	565
1852.372	393
1852.374	335
1852.376	364
1852.378	388
1852.380	384
1852.382	394
1852.384	375
1852.386	245
1852.388	141
1852.390	116
1852.392	149
1852.394	238
1852.396	276
1852.398	274
1852.400	192
1852.402	148
1852.404	150
1852.406	172
1852.408	176
1852.410	132
1852.412	104
1852.414	116
1852.416	144
1852.418	245
1852.420	328
1852.422	637
1852.424	444
1852.426	180
1852.428	154
1852.430	159
1852.432	209
1852.434	249
1852.436	216
1852.438	204
1852.440	331
1852.442	359
1852.444	492
1852.446	266
1852.448	176
1852.450	202
1852.452	193
1852.454	252
1852.456	373
1852.458	382
1852.460	337
1852.462	353
1852.464	280
1852.466	145
1852.468	147
1852.470	208
1852.472	221
1852.474	250
1852.476	244
1852.478	206
1852.480	207
1852.482	360
1852.484	674
1852.486	498
1852.488	290
1852.490	242
1852.492	192
1852.494	231
1852.496	367
1852.502	755
1852.504	667
1852.506	668
1852.508	648
1852.510	712
1852.512	1126
1852.514	1144
1852.516	1061
1852.518	396
1852.520	328
1852.522	279
1852.524	288
1852.526	280
1852.528	312
1852.530	373
1852.532	343
1852.534	297
1852.536	218
1852.538	133
1852.540	121
1852.542	236
1852.544	324
1852.546	374
1852.548	567
1852.550	366
1852.552	175
1852.554	149
1852.556	121
1852.558	114
1852.560	135
1852.562	237
1852.564	254
1852.566	261
1852.568	381
1852.570	411
1852.572	260
1852.574	200
1852.576	208
1852.578	210
1852.580	172
1852.582	162
1852.584	163
1852.586	150
1852.588	146
1852.590	228
1852.592	424
1852.594	443
1852.596	285
1852.598	254
1852.600	252
1852.602	264
1852.604	218
1852.606	157
1852.608	143
1852.610	127
1852.612	219
1852.614	408
1852.616	478
1852.618	452
1852.620	485
1852.622	476
1852.624	581
1852.626	1062
1852.628	926
1852.630	682
1852.632	723
1852.634	508
1852.636	249
1852.638	189
1852.640	188
1852.642	202
1852.644	310
1852.646	346
1852.648	361
1852.650	303
1852.652	275
1852.654	229
1852.656	313
1852.658	396
1852.660	430
1852.662	418
1852.664	414
1852.666	437
1852.668	466
1852.670	439
1852.672	430
1852.674	432
1852.676	415
1852.678	405
1852.680	375
1852.682	434
1852.684	426
1852.686	425
1852.688	527
1852.690	613
1852.692	569
1852.694	352
1852.696	202
1852.698	275
1852.700	235
1852.702	187
1852.704	162
1852.706	166
1852.708	166
1852.710	154
1852.712	135
1852.714	158
1852.716	220
1852.718	257
1852.720	274
1852.722	377
1852.724	493
1852.726	301
1852.728	177
1852.730	168
1852.732	171
1852.734	172
1852.736	208
1852.738	226
1852.740	272
1852.742	430
1852.744	626
1852.746	628
1852.748	634
1852.750	666
1852.752	667
1852.754	698
1852.756	698
1852.758	559
1852.760	375
1852.762	340
1852.764	339
1852.766	384
1852.768	338
1852.770	204
1852.772	174
1852.774	175
1852.776	177
1852.778	213
1852.780	235
1852.782	208
1852.784	193
1852.786	263
1852.788	408
1852.790	317
1852.792	290
1852.794	626
1852.796	524
1852.798	217
1852.800	199
1852.802	193
1852.804	202
1852.806	214
1852.808	189
1852.810	163
1852.812	153
1852.814	155
1852.816	162
1852.818	142
1852.820	164
1852.822	263
1852.824	335
1852.826	318
1852.828	253
1852.830	185
1852.832	295
1852.834	235
1852.836	251
1852.838	294
1852.840	203
1852.842	168
1852.844	179
1852.846	192
1852.848	190
1852.850	161
1852.852	158
1852.854	236
1852.856	436
1852.858	475
1852.860	387
1852.862	302
1852.864	431
1852.866	496
1852.868	506
1852.870	354
1852.872	305
1852.874	391
1852.876	266
1852.878	243
1852.880	342
1852.882	373
1852.884	325
1852.886	263
1852.888	274
1852.890	296
1852.892	438
1852.894	422
1852.896	316
1852.898	240
1852.900	285
1852.902	315
1852.904	252
1852.906	239
1852.908	190
1852.910	199
1852.912	212
1852.914	226
1852.916	160
1852.918	133
1852.920	158
1852.922	197
1852.924	238
1852.926	397
1852.928	453
1852.930	435
1852.932	349
1852.934	198
1852.936	181
1852.938	195
1852.940	192
1852.942	174
1852.944	218
1852.946	260
1852.948	257
1852.950	254
1852.952	249
1852.954	227
1852.956	256
1852.958	254
1852.960	240
1852.962	268
1852.964	263
1852.966	239
1852.968	232
1852.970	197
1852.972	181
1852.974	199
1852.976	206
1852.978	220
1852.980	208
1852.982	200
1852.984	208
1852.986	192
1852.988	166
1852.990	218
1852.992	365
1852.994	424
1852.996	286
1853.020	272
1853.022	182
1853.024	193
1853.026	202
1853.028	183
1853.030	174
1853.032	148
1853.034	173
1853.036	218
1853.038	365
1853.040	393
1853.042	442
1853.044	614
1853.046	631
1853.048	560
1853.050	311
1853.052	114
1853.054	91
1853.056	130
1853.058	159
1853.060	229
1853.062	236
1853.064	229
1853.066	329
1853.068	257
1853.070	253
1853.072	352
1853.074	407
1853.076	352
1853.078	268
1853.080	309
1853.082	214
1853.084	120
1853.086	150
1853.088	302
1853.090	524
1853.092	413
1853.094	310
1853.096	278
1853.098	334
1853.100	452
1853.102	606
1853.104	373
1853.106	186
1853.108	216
1853.110	225
1853.112	360
1853.114	230
1853.116	158
1853.118	151
1853.120	203
1853.122	221
1853.124	212
1853.126	208
1853.128	189
1853.130	229
1853.132	270
1853.134	274
1853.136	204
1853.138	251
1853.140	266
1853.142	190
1853.144	189
1853.146	294
1853.148	440
1853.150	428
1853.152	400
1853.154	339
1853.156	365
1853.158	356
1853.160	306
1853.162	332
1853.164	546
1853.166	838
1853.168	608
1853.170	336
1853.172	264
1853.174	256
1853.176	290
1853.178	245
1853.180	217
1853.182	202
1853.184	194
1853.186	186
1853.188	188
1853.190	128
1853.192	132
1853.194	145
1853.196	150
1853.198	168
