Age,Agassiz_SMOW d18O,Camp Century_SMOW_elevflow d18O,Dye3_SMOW_elevflow d18O,GISP2_SMOW d18O,GRIP_SMOW d18O,NEEM_SMOW_elevflow_latflow d18O,NGRIP_SMOW d18O,Renland_SMOW d18O
10000,1.639825231,-2.170646894,-1.119551655,-0.131315537,-0.211526833,-0.496177595,-0.639237284,0.994261372
10050,1.295438188,-2.587017606,-1.401791022,-0.635584607,-0.507538103,-0.613782933,-0.580375552,0.959763649
10100,1.330908821,-2.360293421,-1.717354042,-0.746667752,-0.187112598,-1.044092326,-0.434886575,0.552065496
10150,1.228097027,-2.756671228,-1.977933463,-0.068044525,-0.139921699,-1.336377132,-0.697578001,0.507568716
10200,1.278575904,-2.943111646,-1.995256351,-0.772678079,-0.622516413,-1.276025668,-1.38009375,0.706325776
10250,0.611068001,-2.966208851,-2.094143734,-0.609991266,-0.59689869,-0.924816709,-1.309490232,0.56028591
10300,1.469596257,-2.79941957,-2.139755324,-0.890958198,-0.484686974,-1.069617483,-1.138964034,0.237612348
10350,1.668091753,-3.106058506,-2.285610443,-1.392117644,-1.369026552,-1.651150921,-1.471855974,-0.03702851
10400,1.413345714,-3.442772394,-2.274952094,-1.162336654,-0.387538739,-1.405659746,-1.21507319,0.381293718
10450,1.539897142,-3.366532327,-2.477751664,-0.950404397,-0.522479324,-1.657665757,-1.225061692,0.819388027
10500,1.016662949,-3.730164815,-2.497350348,-0.980443733,-1.110618334,-1.499927912,-1.191791861,0.091243687
10550,0.776539713,-3.452508392,-3.065153327,-0.9239597,-0.805905558,-1.544252229,-1.343550072,0.430877158
10600,0.879513849,-3.081653069,-2.640139103,-1.187426792,-0.954421495,-1.853132021,-1.275492636,0.437226986
10650,1.0620581,-3.694089706,-2.743620075,-1.442947863,-1.164964541,-1.693490715,-1.262798683,0.31657458
10700,0.887996984,-3.403688912,-2.797218814,-1.445342533,-1.13570829,-1.808937919,-1.543403503,0.012575925
10750,0.902042342,-4.261238673,-2.732680843,-1.207989639,-1.279847037,-1.867238096,-1.702534492,0.071606032
10800,0.499563821,-3.992688084,-2.998040894,-1.263887595,-1.703904706,-2.163779344,-2.011642284,-0.095977855
10850,-0.242889619,-3.78925077,-3.431791643,-1.588132357,-1.774930984,-2.232911212,-2.807324296,-0.358656661
10900,0.234033409,-4.518744504,-3.645686682,-2.245589479,-1.915967062,-2.111613027,-2.776768798,-0.31152576
10950,0.470960906,-3.612470714,-3.451552909,-1.963602423,-1.745594157,-2.138130715,-2.18826221,-0.559357921
11000,0.414690996,-4.551962893,-3.540620248,-1.724937088,-1.515259208,-2.223125986,-2.062873059,-0.700579573
11050,0.185247662,-4.545182383,-3.621284927,-1.789386693,-2.335991034,-2.096634354,-2.323886716,-0.360304468
11100,0.16234223,-4.508441875,-3.815248643,-1.987125333,-2.097280834,-2.130097623,-2.14847891,-0.703041882
11150,0.169207575,-5.652963894,-3.821188336,-2.384966682,-2.037027342,-2.92494188,-2.749546065,-0.726155592
