### Lecavalier et al., 2013 Revised estimates of Greenland ice sheet thinning histories based on ice-core records;;;;;;;;;;;;;;;;;;;
###;;;;;;;;;;;;;;;;;;;
### Holocene Thinning Curves (TC);;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;Site A corrected;Site B corrected;total uncertainty (m);;;Site A corrected;Site B corrected;total uncertainty (m);;;Site A corrected;Site B corrected;total uncertainty (m);;;Site A corrected;Site B corrected;total uncertainty (m);
Time (ka);GRIP TC (m);GRIP TC (m);Upper bound;Lower bound;;NGRIP TC (m);NGRIP TC (m);Upper bound;Lower bound;;DYE-3 TC (m);DYE-3 TC (m);Upper bound;Lower bound;;Camp Century TC (m);Camp Century TC (m);Upper bound;Lower bound
-0.28;6.01556996476802;6.05150225950592;74.0515022595059;-61.984430035232;;4.47085986011847;4.57423030222377;72.5742303022238;-63.5291401398815;;13.0963489312623;12.9393404259995;85.0963489312623;-59.0606595740005;;-2.35724051440802;-2.20179428282869;69.7982057171713;-74.357240514408
-0.3;6.59231712139035;6.63215554244448;74.6321555424445;-61.4076828786097;;4.84642616185322;4.96103379343236;72.9610337934324;-63.1535738381468;;13.822796686735;13.6487201077874;85.822796686735;-58.3512798922126;;-2.66817626763547;-2.4958317939514;69.5041682060486;-74.6681762676355
-0.32;7.18863009229267;7.23237463966166;75.2323746396617;-60.8113699077073;;5.23533723344496;5.36118205449701;73.361182054497;-62.764662766555;;14.485376187213;14.2942315345795;86.485376187213;-57.7057684654205;;-2.99242444148714;-2.80318172569818;69.1968182743018;-74.9924244414872
-0.34;7.80796664981312;7.85561587086613;75.8556158708661;-60.1920333501869;;5.63930605124068;5.77638388281963;73.7763838828196;-62.3606939487593;;15.0936908792371;14.8854845002888;87.0936908792371;-57.1145154997112;;-3.31879291064437;-3.11265823696014;68.8873417630399;-75.3187929106444
-0.36;8.45242535847342;8.50398070584129;76.5039807058413;-59.5475746415266;;6.05969819048705;6.20801321153756;74.2080132115376;-61.9403018095129;;15.659945866378;15.434671413745;87.659945866378;-56.565328586255;;-3.65114250687833;-3.42810959108931;68.5718904089107;-75.6511425068783
-0.38;9.11053103950121;9.16642394476503;77.166423944765;-58.8894689604988;;6.48267328503009;6.6434666429248;74.6434666429248;-61.5173267149699;;16.1852936693746;15.9410659746381;88.1852936693746;-56.0589340253619;;-4.0162572483154;-3.77445967989319;68.2255403201068;-76.0162572483154
-0.4;9.78558951715013;9.84591440136137;77.8459144013614;-58.2144104828499;;6.91347967521804;7.087023001532;75.087023001532;-61.086520324782;;16.6640167456234;16.4004232298334;88.6640167456234;-55.5995767701667;;-4.39457983930258;-4.13360914456682;67.8663908554332;-76.3945798393026
-0.42;10.4763803319145;10.5411371950715;78.5411371950715;-57.5236196680855;;7.36313117359843;7.54942446833404;75.549424468334;-60.6368688264016;;17.0771605765903;16.7942012397469;89.0771605765903;-55.2057987602531;;-4.7838906272091;-4.50374680615746;67.4962531938425;-76.7838906272091
-0.44;11.1478680310024;11.2170597783706;79.2170597783706;-56.8521319689976;;7.80543726635609;8.00448888740745;76.0044888874075;-60.1945627336439;;17.3690879823309;17.0667501296999;89.3690879823309;-54.9332498703001;;-5.1973691430067;-4.89803962721901;67.101960372781;-77.1973691430067
-0.46;11.8195583627084;11.8931820890239;79.8931820890239;-56.1804416372916;;8.25165986864711;8.46346145811999;76.46346145812;-59.7483401313529;;17.5817222425768;17.2600185688913;89.5817222425768;-54.7399814311087;;-5.63105146677439;-5.31254882466963;66.6874511753304;-77.6310514667744
-0.48;12.501446110243;12.579501815507;80.579501815507;-55.498553889757;;8.71290717138167;8.93745872927609;76.9374587292761;-59.2870928286183;;17.7355451292526;17.3944756345157;89.7355451292526;-54.6055243654843;;-6.07623520544188;-5.7385594370213;66.2614405629787;-78.0762352054419
