GISP2 Stable Isotopes (Deuterium, annual averages)

REFERENCES: 

Barlow, L.K., J.C. Rogers, M.C. Serreze, and R.G. Barry. 1997. Aspects of
climate variability in the North Atlantic sector: Discussion and relation
to the Greenland Ice Sheet Project 2 high-resolution isotopic signal.
Journal of Geophysical Research 102:26333-26344.

White, D.E., J.W.C. White, E.J. Steig, and L.K. Barlow. 1997.
Reconstructing annual and seasonal climatic responses from volcanic events
since A.D. 1270 as recorded in the deuterium signal from the Greenland Ice
Sheet Project 2 ice core. Journal of Geophysical Research 102:19683-19694.

White, J.W.C., L.K. Barlow, D. Fisher, P.M. Grootes, J. Jouzel, S.J.
Johnsen, M. Stuiver, and H.B. Clausen. 1997. The climate signal in the
stable isotopes of snow from Summit, Greenland: Results of comparisons with
modern climate observations. Journal of Geophysical Research 102:26425
26439.

Barlow, L.K. 1994. Evaluation of seasonal to decadal scale deuterium and
deuterium excess signals, GISP2 ice core, Summit, Greenland, A.D. 1270
1985. Ph.D. Thesis, University of Colorado, Boulder, Colorado, USA.

Barlow, L.K., J.W.C. White, R.G. Barry, J.C. Rogers, and P.M. Grootes.
1993. The North Atlantic oscillation signature in deuterium and deuterium
excess signals in the Greenland Ice Sheet Project 2 ice core, 1840-1970.
Geophysical Research Letters 20:2901-2904.

DATA DESCRIPTION: 

These data were produced in the stable isotope laboratory of at the
University of Colorado. The variable Year is the calendar year associated
with the sample, determined as described in Barlow (1994). This is
effectively a winter-to-winter year, as defined by troughs in the delta
deuterium data, as opposed to the summer-to-summer year defined by the
official layer-counted timescale of Meese et al. (1997), given in the file
gisp2age.dat.  The latter timescale is given in this file as Age Top, as
interpolated from the top depths for the samples. 

DATA:

Depth	delta Deuterium	Year	Age
Top (m)	(per mil)	(A.D.)	(yr BP)

70.28	-252.65	1787	164.71
70.56	-276.93	1786	165.39
71.03	-281.6	1785	166.71
71.21	-288.03	1784	167.46
71.45	-271.79	1783	168.55
71.73	-266.92	1782	169.7
71.97	-283.16	1781	170.67
72.48	-273.99	1780	172.7
72.68	-273.54	1779	173.5
72.94	-266.87	1778	174.57
73.16	-258.36	1777	175.48
73.35	-268.33	1776	176.15
73.58	-260.97	1775	176.82
73.84	-259.46	1774	177.67
74.1	-257.89	1773	178.67
74.42	-265.09	1772	180.15
74.68	-274.65	1771	181.1
74.97	-266.96	1770	182.04
75.19	-274.85	1769	183
75.45	-272.8	1768	184.39
75.71	-268.23	1767	185.63
75.9	-276.19	1766	186.3
76.22	-264.58	1765	187.33
76.5	-255.99	1764	188.37
76.81	-269.37	1763	189.78
77.03	-281.16	1762	190.69
77.32	-273.15	1761	191.48
77.57	-283.87	1760	192.11
77.86	-282.14	1759	193.43
78.12	-282.18	1758	194.39
78.35	-277.68	1757	195.26
78.67	-265.21	1756	196.27
79.03	-273.2	1755	197.89
79.26	-272.5	1754	198.72
79.48	-275.98	1753	199.45
79.81	-272.2	1752	200.39
80.06	-273.18	1751	201
80.38	-267.37	1750	202.22
80.61	-269.14	1749	202.84
80.9	-268.58	1748	204.22
81.18	-276.73	1747	205.52
81.39	-288.38	1746	206.36
81.57	-279.52	1745	207.13
81.75	-260.92	1744	207.73
81.96	-266.58	1743	208.65
82.3	-274.19	1742	210.12
82.66	-258.68	1741	211.7
82.93	-260.18	1740	212.78
83.21	-265.78	1739	214.03
83.51	-276.91	1738	214.84
83.72	-280.67	1737	215.56
84.03	-278.59	1736	216.73
84.24	-282.24	1735	217.56
84.54	-269.77	1734	218.63
84.78	-266.03	1733	219.42
85.09	-263.86	1732	220.42
85.33	-266.25	1731	221.25
85.67	-257.91	1730	222.48
85.97	-270.96	1729	223.68
86.27	-253.28	1728	224.92
86.45	-263.24	1727	225.84
86.8	-252.61	1726	226.89
87.01	-279.78	1725	227.55
87.25	-265.46	1724	228.4
87.49	-283.92	1723	229.35
87.7	-287.69	1722	230.14
88.04	-268.08	1721	231.47
88.24	-278.34	1720	232.4
88.55	-262.43	1719	233.48
88.78	-279.53	1718	234.38
89	-257.72	1717	235.63
89.21	-286.35	1716	236.82
89.39	-284.31	1715	237.3
89.75	-260.49	1714	238.06
90.06	-263.24	1713	239.71
90.3	-260.99	1712	240.64
90.55	-263.54	1711	241.56
90.82	-263.32	1710	242.83
91.13	-266.38	1709	244.38
91.32	-268.8	1708	245.35
91.52	-279.95	1707	246
91.77	-274	1706	246.74
92.06	-259.6	1705	248.13
92.24	-262.9	1704	249.18
92.5	-264.98	1703	250.24
92.74	-268.94	1702	250.94
92.91	-281.06	1701	251.48
93.15	-275.32	1700	252.3
93.42	-268.43	1699	253.17
93.64	-279.13	1698	253.65
93.85	-268.84	1697	254.23
94.07	-270.23	1696	255.25
94.32	-280.83	1695	256.45
94.6	-273.54	1694	257.55
94.91	-267.57	1693	258.78
95.12	-274.92	1692	259.47
95.3	-265.46	1691	260
95.51	-256.87	1690	260.88
95.72	-274.89	1689	261.58
95.93	-277.05	1688	262.32
96.3	-257.79	1687	263.74
96.54	-275.25	1686	264.89
96.72	-277.74	1685	265.5
97.03	-252.49	1684	266.47
97.33	-260.03	1683	267.65
97.58	-278.09	1682	268.6
97.85	-266.88	1681	269.58
98.03	-277.52	1680	270.25
98.42	-267.58	1679	271.95
98.63	-275.78	1678	272.47
98.93	-270.44	1677	273.23
99.15	-278.52	1676	273.97
99.46	-269.72	1675	275.44
99.77	-259.61	1674	276.53
100.03	-263.09	1673	277.52
100.24	-265.99	1672	278.53
100.54	-268.34	1671	279.78
100.75	-265.53	1670	280.65
100.96	-267.58	1669	281.46
101.19	-275.32	1668	282.21
101.65	-259.46	1667	283.7
101.81	-271.44	1666	284.6
101.94	-268.09	1665	285.35
102.16	-258.25	1664	286.47
102.42	-267.42	1663	287.7
102.67	-286.57	1662	288.69
102.91	-272.7	1661	289.8
103.2	-258.85	1660	291.07
103.43	-273.91	1659	291.93
103.73	-270.3	1658	292.8
103.96	-264.49	1657	293.59
104.29	-270.31	1656	294.92
104.49	-269.96	1655	295.67
104.72	-271.91	1654	296.52
104.85	-274.4	1653	297
105.14	-262	1652	298.32
105.4	-255.39	1651	299.35
