GISP2 Bidecadal Oxygen Isotope Data

REFERENCES: 

Stuiver, M., T.F. Braziunas, P.M. Grootes, and G.A. Zielinski. 1997. Is
there evidence for solar forcing of climate in the GISP2 oxygen isotope
record?  Quaternary Research 48:259-266.

Stuiver, M., P.M. Grootes, and T.F. Braziunas. 1995. The GISP2 18O climate
record of the past 16,500 years and the role of the sun, ocean and
volcanoes. Quaternary Research 44:341-354.

Meese, D.A., R.B. Alley, R.J. Fiacco, M.S. Germani, A.J. Gow, P.M. Grootes,
M. Illing, P.A. Mayewski, M.C. Morrison, M. Ram, K.C. Taylor, Q. Yang, and
G.A. Zielinski. 1994. Preliminary depth-agescale of the GISP2 ice core.
Special CRREL Report 94-1, US.

Steig, E.J., P.M. Grootes, and M. Stuiver. 1994. Seasonal precipitaion
timing and ice core records. Science 266:1885-1886.

DATA DESCRIPTION: 

This file contains the GISP2 bidecadal delta 18O data set back to 16,510
yr B.P., measured at the Quaternary Isotope Laboratory, University of
Washington, as of February 1st, 1997.  The timescale includes revisions by
D. A. Meese as of September 1994. The GISP2 depths below 167 meters are
those of the D core; above 167 meters the core depths are those of the B
core + 1.09 meters.  See the file gisp2age.dat for further information on
the timescale. 

Between 1650.29 and 1844.88 meters, the delta 18-O values of this time
series are based on high resolution data (0.2 meter). They differ slightly
from the 2-meter time series (file UW2md18O.dat). 

The data columns represent: 

(1) top depths of intervals (in meters)

(2) mean delta 18-O values (in per mil) over bidecadal intervals starting
at top depths.  Standard deviation in a single delta 18-O measurement is
0.14 per mil. Multiple measurements (such as for the ones below) reduce
the standard deviation to the 0.05 to 0.1 per mil range. 

(3) layer count ages at top depths (in yr BP) where 0 BP represents AD
1950 SUMMER to AD 1949 SUMMER

DATA:		

Depth	d18O	Age (top)
Top (m)	(per mil)	(yr BP)

1230.13	-34.05	6810
1232.54	-34.34	6830
1234.99	-33.87	6850
1237.53	-34.9	6870
1239.98	-33.85	6890
1242.42	-34.22	6910
1244.85	-34.91	6930
1247.25	-34.67	6950
1249.57	-34.4	6970
1251.92	-34.78	6990
1254.23	-34.57	7010
1256.51	-35.24	7030
1258.83	-35.14	7050
1261.14	-34.76	7070
1263.51	-34.99	7090
1265.8	-34.7	7110
1268.23	-34.95	7130
1270.57	-35.04	7150
1273.11	-34.47	7170
1275.35	-34.97	7190
1277.69	-35.13	7210
1280.06	-35.05	7230
1282.25	-34.9	7250
1284.53	-34.94	7270
1286.87	-34.57	7290
1289.31	-34.69	7310
1291.51	-34.33	7330
1293.88	-34.47	7350
1296.3	-34.81	7370
1298.65	-34.37	7390
1300.95	-34.58	7410
1303.31	-34.41	7430
1305.72	-34.54	7450
1308.07	-34.84	7470
1310.34	-34.97	7490
1312.7	-35.38	7510
1314.9	-34.72	7530
1317.18	-34.55	7550
1319.61	-34.4	7570
1321.95	-34.7	7590
1324.35	-34.11	7610
1326.54	-34.91	7630
1328.81	-34.6	7650
1331.11	-34.16	7670
1333.4	-33.94	7690
1335.81	-34.57	7710
1337.94	-34.2	7730
1340.22	-34.55	7750
1342.6	-34.16	7770
1344.93	-34.78	7790
1347.28	-33.42	7810
1349.65	-34.5	7830
1351.86	-34.23	7850
1354.11	-34.39	7870
1356.44	-34.62	7890
1358.65	-34.95	7910
1360.94	-34.24	7930
1363.05	-34.68	7950
1365.29	-34.09	7970
1367.61	-34.64	7990
1369.82	-34.5	8010
1371.95	-35.14	8030
1374.19	-35.34	8050
1376.38	-34.64	8070
1378.74	-34.86	8090
1381.06	-35.19	8110
1383.35	-35.19	8130
1385.28	-35.5	8150
1387.37	-35.58	8170
1389.37	-36.11	8190
1391.39	-36.5	8210
1393.51	-36.19	8230
1395.41	-35.18	8250
1397.38	-34.83	8270
1399.44	-34.52	8290
1401.69	-34.85	8310
1403.91	-34.4	8330
1405.96	-34.81	8350
1407.98	-34.91	8370
1410.1	-34.97	8390
1412.37	-34.95	8410
1414.29	-34.3	8430
1416.53	-35.04	8450
1418.48	-34.31	8470
1420.53	-35.12	8490
1422.5	-34.64	8510
1424.65	-34.92	8530
1426.64	-34.47	8550
1428.84	-34.47	8570
1431.11	-34.84	8590
1433.25	-34.48	8610
1435.33	-34.36	8630
1437.49	-35.12	8650
1439.69	-34.57	8670
1441.71	-34.46	8690
1443.66	-34.89	8710
1445.86	-34.07	8730
1447.99	-34.61	8750
1450.14	-34.51	8770
1452.18	-34.34	8790
1454.16	-34.36	8810
1456.1	-34.86	8830
1457.98	-34.81	8850
1460.05	-34.27	8870
1462.12	-33.91	8890
1464.17	-34.02	8910
1466.33	-34.46	8930
1468.33	-34.74	8950
1470.34	-34.7	8970
1472.3	-35.02	8990
1474.31	-34.79	9010
1476.19	-34.19	9030
1478.21	-34.66	9050
1480.31	-34.47	9070
1482.46	-34.2	9090
1484.54	-34.68	9110
1486.63	-34.79	9130
1488.56	-35.06	9150
1490.63	-34.56	9170
1492.58	-34.62	9190
1494.46	-35.61	9210
1496.28	-34.82	9230
1498.2	-34.61	9250
1500.12	-35.05	9270
1501.99	-34.09	9290
1503.76	-33.97	9310
1505.83	-34.36	9330
1507.69	-34.08	9350
1509.64	-35.13	9370
1511.38	-34.36	9390
1513.28	-34.65	9410
1515.17	-35.71	9430
1517.1	-34.84	9450
1518.95	-35.08	9470
1520.73	-35.47	9490
1522.45	-34.64	9510
1524.15	-35.12	9530
1525.95	-34.6	9550
1527.67	-34.39	9570
1529.52	-34.33	9590
1531.18	-34.49	9610
1532.87	-34.45	9630
1534.61	-35.14	9650
1536.44	-34.36	9670
1537.96	-34.27	9690
1539.71	-34.29	9710
1541.51	-35.23	9730
1543.19	-34.71	9750
1544.94	-33.97	9770
1546.6	-35	9790
1548.27	-35.3	9810
1550.08	-35.06	9830
1551.78	-35.07	9850
1553.64	-35.06	9870
1555.31	-33.78	9890
1557.11	-35.64	9910
1558.72	-34.51	9930
1560.4	-35	9950
1562.14	-34.76	9970
1563.94	-35.3	9990
1565.64	-34.41	10010
1567.35	-34.84	10030
1569.05	-35.95	10050
1570.71	-35.54	10070
1572.43	-35.69	10090
1574.04	-34.86	10110
1575.62	-34.59	10130
1577.15	-35.15	10150
1578.66	-35.57	10170
1580.18	-35.46	10190
1581.65	-35.32	10210
1583.33	-34.99	10230
1585	-35.7	10250
1586.64	-35.1	10270
1588.36	-35.93	10290
1589.83	-36.09	10310
1591.26	-36.13	10330
1592.86	-35.82	10350
1594.51	-35.89	10370
1596	-35.87	10390
1597.61	-35	10410
1598.96	-35.94	10430
1600.53	-34.95	10450
1601.93	-35.87	10470
1603.4	-35.91	10490
1604.79	-35.66	10510
1606.2	-35.53	10530
1607.61	-35.73	10550
1609.14	-35.92	10570
1610.57	-35.79	10590
1612	-35.65	10610
1613.38	-35.79	10630
1614.71	-36.4	10650
1616.14	-35.55	10670
1617.57	-36.21	10690
1619.07	-36.49	10710
1620.38	-35.5	10730
1621.71	-36.21	10750
1623.15	-35.53	10770
1624.64	-36.15	10790
1626.07	-36.1	10810
1627.4	-36.04	10830
1628.79	-36.56	10850
1630.13	-37.13	10870
1631.44	-36.64	10890
1632.79	-36.74	10910
1634.2	-36.57	10930
1635.53	-36.57	10950
1636.81	-35.68	10970
1638.21	-36.5	10990
1639.5	-36.83	11010
1640.79	-36.13	11030
1642.07	-36.62	11050
1643.37	-36.87	11070
1644.53	-36.45	11090
1645.93	-36.56	11110
1647.29	-37.07	11130
1648.47	-36.76	11150
1649.69	-36.27	11170
