age (yr)	total sulfate (ppb)	volcanic sulfate

961.28	30.78	0
963.47	22.67	0
965.60	38.08	0
967.23	30.78	0
969.18	30.64	0
971.05	43.27	3
973.04	36.93	0
974.94	38.27	1
976.58	28.72	0
978.46	23.87	0
980.48	35.92	0
982.27	38.23	0
984.18	24.68	0
986.27	38.03	0
988.11	34.34	0
990.08	38.75	5
992.02	30.40	0
994.36	33.09	0
996.29	32.03	0
998.20	30.64	0
999.99	25.84	0
1001.81	27.18	0
1003.71	20.79	0
1005.88	30.30	0
1007.78	33.57	0
1009.58	66.17	2
1011.30	131.58	84
1012.98	98.35	64
1014.74	40.29	0
1016.35	28.38	0
1019.04	26.80	0
1020.71	23.67	0
1022.55	43.12	10
1024.80	27.80	0
1026.66	28.14	0
1028.60	29.39	0
1030.67	30.21	0
1032.73	41.97	2
1034.62	60.55	23
1036.82	27.32	0
1038.80	26.94	0
1041.05	29.20	0
1042.94	42.88	2
1045.30	30.73	0
1047.20	75.30	21
1049.22	74.48	39
1051.02	33.04	4
1052.91	44.32	11
1054.80	33.28	0
1056.75	29.53	0
1058.91	35.73	0
1060.40	30.16	0
1062.58	41.87	0
1064.69	29.49	0
1066.76	28.52	0
1068.65	32.99	0
1070.42	43.80	0
1071.81	41.83	0
1073.51	69.97	20
1076.05	36.64	0
1077.63	32.03	0
1079.67	35.10	1
1082.00	30.93	0
1083.89	29.97	0
1086.09	39.38	6
1087.75	30.30	0
1090.04	36.98	0
1091.47	54.60	12
1093.51	53.88	11
1095.52	68.00	27
1097.05	46.53	5
1099.02	30.45	0
1100.81	46.39	4
1102.83	37.02	0
1104.45	43.56	8
1106.17	37.07	0
1108.08	36.78	5
1110.38	29.82	0
1112.23	37.31	4
1113.94	28.86	5
1116.01	40.67	9
1117.94	42.40	2
1120.23	50.28	18
1121.87	61.90	21
1123.99	53.98	20
1125.66	83.32	37
1127.20	82.07	52
1129.13	59.69	27
1131.26	37.31	2
1132.76	38.75	0
1134.44	29.29	1
1136.46	31.84	0
1137.53	30.49	0
1140.35	48.07	0
1141.78	42.11	0
1143.76	46.77	5
1145.84	43.17	9
1147.95	36.59	4
1150.28	33.23	0
1151.86	42.45	0
1153.74	37.94	0
1155.63	31.31	0
1157.68	41.25	0
1159.26	42.31	4
1160.81	47.54	0
1163.36	31.93	2
1164.70	27.95	0
1166.68	36.64	5
1168.62	41.78	0
1170.37	26.51	0
1172.25	29.63	0
1174.46	30.73	0
1176.82	44.76	9
1178.68	42.50	7
1180.47	38.56	0
1182.42	66.32	38
1184.17	45.91	6
1186.21	40.58	0
1188.18	43.94	13
1190.26	44.23	5
1192.25	62.72	25
1194.32	54.70	27
1196.09	39.95	6
1197.82	32.70	0
1199.11	29.92	0
1201.19	25.84	3
1202.99	25.64	0
1204.91	20.60	0
1206.66	30.73	0
1208.01	27.76	0
1210.29	26.41	0
1212.30	39.62	0
1214.14	19.50	0
1216.05	27.42	0
1217.72	21.18	0
1219.87	31.41	0
1222.11	24.06	0
1223.86	21.66	0
1225.92	27.37	0
1227.87	23.91	0
1229.95	25.12	0
1232.03	21.75	0
1233.94	31.07	0
1236.29	26.17	0
1238.45	29.77	0
1240.47	33.04	3
1242.70	41.92	8
1244.92	34.86	0
1246.89	56.38	19
1249.07	23.00	0
1250.79	28.57	0
1252.91	61.52	4
1254.50	64.40	23
1256.58	39.14	1
1258.32	117.70	73
1260.40	28.48	0
1262.44	27.37	0
1264.08	33.04	0
1265.32	28.57	0
1267.45	34.62	0
1269.43	33.47	9
1271.30	27.80	0
1272.83	27.18	0
1274.74	22.14	0
1276.68	31.55	3
1278.71	27.13	0
1280.73	28.52	1
1282.89	34.10	0
1284.25	29.49	0
1285.11	31.70	0
1287.70	29.15	0
1290.77	24.45	0
1293.67	25.07	0
1296.13	28.15	0
1298.94	29.49	0
1302.89	24.06	5
1305.76	52.64	3
1308.57	31.12	0
1309.88	178.38	132
1312.12	33.33	0
1314.44	31.27	0
1316.59	26.61	0
1318.71	24.16	0
1320.83	26.80	0
