GISP2 Ions: Deep (D) Core (Detailed)

REFERENCES: 

Mayewski, P.A., L.D. Meeker, M.S. Twickler, S.I. Whitlow, Q. Yang, W.B.
Lyons, and M. Prentice. 1997. Major features and forcing of high-latitude
northern hemisphere atmospheric circulation using a 110,000-year-long
glaciochemical series. Journal of Geophysical Research 102:26345-26366.

Taylor, K.C., P.A. Mayewski, M.S. Twickler, and S.I. Whitlow. 1996. Biomass
burning recorded in the GISP2 ice core: A record from eastern Canada? The
Holocene 6(1):1-6.

Yang, Q., P.A. Mayewski, S.I. Whitlow, M.S. Twickler, M.C. Morrison, R.W.
Talbot, J.E. Dibb, and E. Linder. 1995. Global perspective of nitrate flux
in ice cores. Journal of Geophysical Research 100:5113-5121.

Mayewski, P.A., W.B. Lyons, M.J. Spencer, M.S. Twickler, C.F. Buck, and
S.I. Whitlow. 1990. An ice core record of atmospheric response to
anthropogenic sulphate and nitrate. Nature 346:554-556.

DATA DESCRIPTION: 

This file contains the GISP2 major ion concentrations in parts per billion
(ppb) by mass. Blanks (999999) in chemical species represent samples below
detection limits.  Firn samples were cleaned in the freezer by hand
scraping and placed in a pre-cleaned container.  The pieces were kept
frozen until analyzed.  Samples from 96 meters to 200 meters were cleaned
by rinsing with milli-Q water.  Samples below 200 meters were cleaned by
hand scraping after sectioning. 

DATA: 											

depth top (m)	depth bottom (m)	Na	NH4	K	Mg	Ca	Cl	NO3	SO4	age top (yr)	
age bottom (yr)

2746.8	2746.84	6.76	9.73	1.82	2.89	12.62	16.32	61.42	25.94	100415.0	100422.6
2746.84	2746.88	6.62	13.84	1.32	2.75	18.87	15.65	64.58	39.59	100422.6	100430.2
2746.88	2746.92	6.88	10.46	1.26	3.24	17.24	15.48	61.07	37.31	100430.2	100437.8
2746.92	2746.96	8.12	5.28	1.28	4.33	23.91	16.69	57.31	57.96	100437.8	100445.4
2746.96	2747	7.47	5.29	1.22	3.88	19.67	15.85	56.6	43.11	100445.4	100453.0
2858	2858.006	20.1	7.93	6.15	7.51	48.41	41.6	71.14	74.32	999999	999999
2858.006	2858.02	19.97	7.53	4.33	8.96	70.13	35.38	78.46	96.64	999999	999999
2858.02	2858.03	23.23	8.03	7.18	9.26	71.79	41.65	80.65	96.4	999999	999999
2858.03	2858.04	17.71	7.93	3.48	8.78	67.83	34.14	79.19	92.51	999999	999999
2858.04	2858.05	19.36	8.97	5.79	9.04	69.47	37.08	78.17	88.15	999999	999999
2858.05	2858.06	12.39	6.13	4.15	5.65	42.81	32.34	74.8	69.46	999999	999999
2858.06	2858.07	22.3	8.78	6.41	9.42	90.21	38.27	88.54	107.8	999999	999999
2858.07	2858.08	27.45	8.93	5.34	10.96	114.34	40.21	95.53	130.6	999999	999999
2858.08	2858.09	15.82	8.72	2.74	6.72	54.18	29.3	73.63	75.05	999999	999999
2858.09	2858.105	18.24	8.62	8.98	6.69	42.7	34.39	68.94	55.39	999999	999999
2858.105	2858.11	16.55	9.47	7.51	6.57	44.09	31.95	64.24	58.54	999999	999999
2858.11	2858.12	14.94	9.98	4.63	6.66	43.56	27	63.94	59.27	999999	999999
2858.12	2858.13	19.6	10.09	8.15	6.62	44.39	32.94	64.83	62.91	999999	999999
2858.13	2858.14	15.28	11.61	4.99	5.95	39.2	29.6	62.92	64.37	999999	999999
2858.14	2858.15	19.2	11.32	11.73	6.43	42.71	37.48	63.65	64.61	999999	999999
2858.15	2858.16	18.71	9.65	8.47	7.17	39.62	34.19	60.71	59.27	999999	999999
2858.16	2858.17	21.79	9.79	7.94	7.02	45.55	36.78	63.8	75.53	999999	999999
2858.17	2858.18	17.34	10.93	5.64	6.26	36.51	31.04	57.81	63.15	999999	999999
2858.18	2858.19	21.89	9.7	8.62	6.33	36.91	38.23	55.97	61.79	999999	999999
2858.19	2858.2	18.91	10.81	5.2	6.54	34.58	33.21	54.7	58.84	999999	999999
2858.2	2858.21	16.27	9.67	5.71	6.89	35.73	30.66	52.86	58.62	999999	999999
2858.21	2858.22	21.34	9.4	10.3	7.18	32.73	37.29	51.73	54.3	999999	999999
2858.22	2858.23	11.72	9.08	3.73	7.39	30.14	23.98	50.45	55.89	999999	999999
2858.23	2858.24	17.87	10.03	7.74	7.36	28.34	33.87	49.74	52.93	999999	999999
2858.24	2858.25	16.1	9.5	7.26	7.69	25.57	31.28	47.18	46.77	999999	999999
2858.25	2858.26	23.01	12.79	11.74	7.57	28.41	39.86	49.88	57.48	999999	999999
2858.26	2858.27	9.94	10.57	3.71	7.68	21.49	21.42	46.89	49.51	999999	999999
2858.27	2858.28	10.68	10.39	3.82	8.17	26.18	21.51	48.74	49.51	999999	999999
2858.28	2858.29	14.66	8.2	4.4	7.71	32.44	27.53	49.6	52.93	999999	999999
2858.29	2858.3	13.76	9.14	5.59	7.43	29.73	24.36	51.59	55.44	999999	999999
2858.3	2858.31	11.71	6.8	3.21	6.23	24.28	21.91	52.58	53.3	999999	999999
2858.31	2858.32	9.67	11.43	4.56	5.68	22.86	21.59	52.88	48.68	999999	999999
2858.32	2858.33	8.96	10.76	3.23	5.91	26.27	21.28	55.72	50.53	999999	999999
2858.33	2858.34	9.6	11.28	2.97	5.8	27.92	23.25	57.81	51.69	999999	999999
2858.34	2858.35	9.51	13.05	4.19	6.09	27.33	21.13	54.67	51.92	999999	999999
2858.35	2858.36	11.06	10.23	3.57	5.69	29.49	24.44	59.61	54	999999	999999
2858.36	2858.37	14.4	9.49	4.92	6.22	42.23	27.01	66.78	71.1	999999	999999
2858.37	2858.38	17.25	9.36	3.57	6.71	52.88	28.7	71.7	85.21	999999	999999
2858.38	2858.39	23.59	9.88	6.43	6.82	53.44	38.89	73.79	87.52	999999	999999
2858.39	2858.405	18.18	8.71	4.77	7.29	58.04	31.75	76.32	90.3	999999	999999
2858.405	2858.415	16.16	9.07	3.81	6.44	46.47	32.51	73.64	74.57	999999	999999
2858.415	2858.426	16.78	9.69	3.12	6.3	48.38	31.85	72.45	75.04	999999	999999
2858.426	2858.436	18.5	10.1	4.29	7.03	59.21	35.84	78.26	88.68	999999	999999
2858.436	2858.446	19.04	10.14	4.06	6.96	58.56	36.64	78.26	83.82	999999	999999
2858.446	2858.456	23.14	12.47	6.3	7.05	60.47	41.14	78.4	88.45	999999	999999
2858.456	2858.467	20.46	12.45	4.2	7.04	59.73	34.93	77.51	89.14	999999	999999
2858.467	2858.477	18.94	10.81	4.43	7.57	63.83	35.59	78.4	88.45	999999	999999
2858.477	2858.487	18.22	10.82	4.1	7.44	61.78	34.83	75.13	84.52	999999	999999
2858.487	2858.497	17.1	9.83	3.58	7.76	61.99	33.07	77.36	86.37	999999	999999
2858.497	2858.508	17.22	10.06	3.79	7.6	56.63	33.82	73.94	78.04	999999	999999
2858.508	2858.518	16.91	9.99	4.32	8.54	65.74	32	75.28	81.05	999999	999999
2858.518	2858.528	15.23	9.89	3.24	7.73	54.98	30.38	72.74	72.49	999999	999999
2858.528	2858.538	16.37	10.54	3.69	7.42	52.36	32.31	73.19	72.03	999999	999999
2858.538	2858.549	16.68	10.04	3.47	8.8	67.65	30.28	77.81	84.52	999999	999999
2858.549	2858.559	14.47	10.79	5.63	7.21	45.56	29.82	68.72	62.09	999999	999999
2858.559	2858.569	15.89	10.74	3.13	8.05	59.26	27.52	73.34	78.5	999999	999999
2858.569	2858.579	17.11	9.57	4.22	6.93	51.09	29.72	70.51	72.26	999999	999999
2858.579	2858.59	17.57	9.85	3.55	7.44	58.13	29.87	72.45	79.66	999999	999999
2858.59	2858.6	12.05	10.34	3.13	6.8	40.18	26.19	63.79	50.76	999999	999999
2858.6	2858.61	11.03	13.05	3.59	7.05	39.6	25.94	61.7	48.22	999999	999999
2858.61	2858.62	14.41	7.81	2.71	5.91	39.29	28.35	68.79	69.96	999999	999999
2858.62	2858.63	15.4	8.42	2.33	5.95	44.41	28.16	72.42	71.81	999999	999999
2858.63	2858.64	15	7.48	1.94	6.14	44.52	27.38	70.53	73.21	999999	999999
2858.64	2858.65	15.19	8.42	2.58	5.96	41.98	26.64	70.68	71.35	999999	999999
2858.65	2858.66	13.92	7.76	3.1	6.14	36.35	27.7	63.26	58.83	999999	999999
2858.66	2858.67	12.01	8.72	4.02	6.24	35.54	25.84	63.84	59.53	999999	999999
2858.67	2858.68	11.24	9.2	3.53	6.32	34.66	25.33	65.59	56.52	999999	999999
2858.68	2858.69	10.68	8.92	2.98	6.37	34.3	24.2	63.12	57.21	999999	999999
2858.69	2858.7	10.75	10.15	3.23	6.04	34.5	24.62	62.82	56.29	999999	999999
2858.7	2858.71	10.87	9.81	3.23	6.37	35.65	24.95	62.82	58.83	999999	999999
2858.71	2858.719	12.21	9.2	2.88	6.53	39.2	26.26	65.59	66.25	999999	999999
2858.719	2858.728	11.47	9.66	2.43	6.07	32.21	24.39	62.82	52.82	999999	999999
2858.728	2858.737	11.63	8.45	3.85	6.28	33.79	25.66	60.05	53.28	999999	999999
2858.737	2858.746	17.3	8.17	7.17	6.05	32.91	31.37	61.95	57.68	999999	999999
2858.746	2858.755	13.44	8.67	4.84	6.28	37.16	27.19	65.88	61.15	999999	999999
2858.755	2858.764	13.06	9.46	4.53	6.05	37.14	27.7	64.72	61.38	999999	999999
2858.764	2858.773	13.18	9.61	2.96	6.3	39.23	26.59	65.74	64.86	999999	999999
2858.773	2858.782	13.28	8.05	2.71	6.45	38.56	26.5	63.41	63.93	999999	999999
2858.782	2858.791	16.04	7.86	4.09	6.44	41.55	30.05	65.3	64.86	999999	999999
2858.791	2858.8	14.66	7.08	2.23	6.81	47.18	27.52	70.24	75.53	999999	999999
2858.8	2858.81	14.09	7.65	2.73	6.59	43.11	28.12	68.94	71.81	999999	999999
2858.81	2858.82	12.3	7.92	2.63	6.7	35.7	26.22	61.95	56.06	999999	999999
2858.82	2858.83	13.66	9.07	4.9	6.33	39.23	26.64	64.86	60.22	999999	999999
2858.83	2858.84	14.31	9.11	10.39	6.43	39.07	32.87	65.88	61.15	999999	999999
2858.84	2858.85	12.05	8.82	2.73	6.53	39.64	25.23	63.55	59.3	999999	999999
2858.85	2858.86	11.54	9.4	2.68	6.4	35.82	23.26	60.49	54.21	999999	999999
2858.86	2858.87	11.27	9.17	2.34	6.52	36.25	24.01	61.51	57.45	999999	999999
2858.87	2858.88	12.33	9.52	2.15	6.52	36.51	23.4	60.63	56.29	999999	999999
2858.88	2858.89	11.5	8.79	2.28	6.08	32.71	21.49	59.17	51.9	999999	999999
2858.89	2858.9	12.42	7.87	3.14	6.4	36.5	23.26	61.07	57.21	999999	999999
2858.9	2858.91	14.75	9.16	2.79	6.93	45.54	25	68.21	73.9	999999	999999
2858.91	2858.92	18.73	11.73	9.08	7.29	47.37	28.4	69.08	90.18	999999	999999
2858.92	2858.93	9.63	10.98	1.83	6.11	32.64	22.76	62.96	54.96	999999	999999
2858.93	2858.94	10.37	10.57	2.32	6.12	32.39	22.65	60.83	54.73	999999	999999
2858.94	2858.95	13.38	8.64	2.85	6.33	39.15	24.46	65.85	64.77	999999	999999
2858.95	2858.96	11.38	9.54	2.25	6.2	35.4	24.04	66.61	56.36	999999	999999
2858.96	2858.97	11.01	9.19	5.4	6.6	36.26	29.19	68.88	55.19	999999	999999
2858.97	2858.98	12.4	8.35	2.26	6.56	42.62	27.12	72.52	65.23	999999	999999
2858.98	2858.99	14.59	8.11	3.72	6.98	47.25	30.51	75.24	70.61	999999	999999
2858.99	2859	101.53	9.27	7.29	6.68	45.78	179.72	74.18	68.74	999999	999999
2860	2860.01	5.9	8.26	3.04	1.92	6.45	11.61	55.75	34.61	999999	999999
2860.01	2860.02	3.59	6.21	0.8	1.76	5.06	9.31	55.31	39.58	999999	999999
2860.02	2860.03	3.58	6.77	1.44	1.51	4.61	8.98	54.86	29.88	999999	999999
2860.03	2860.04	3.81	7.44	0.86	1.72	4.41	8.38	55.75	30.14	999999	999999
2860.04	2860.05	4.51	9.99	2.51	2.05	5.37	10.3	56.19	31.19	999999	999999
2860.05	2860.06	3.34	9.26	0.86	1.98	5.67	9.64	56.93	33.04	999999	999999
2860.06	2860.07	3.43	5.92	0.79	1.73	5.15	7.89	52.2	36.71	999999	999999
2860.07	2860.08	3.9	5.42	0.84	1.78	5.56	9.04	51.45	36.45	999999	999999
2860.08	2860.09	3.32	11.68	0.87	1.91	5.79	9.53	56.78	40.11	999999	999999
2860.09	2860.1	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
2860.1	2860.11	3.87	7.15	1.66	1.85	5.78	9.09	55.45	37.23	999999	999999
2860.11	2860.12	3.79	7.82	1.16	2.1	5.24	9.09	52.05	34.35	999999	999999
2860.12	2860.13	3.75	10.42	2.44	1.92	5.52	9.97	55.16	35.14	999999	999999
2860.13	2860.14	5.01	6.74	2.28	1.84	6.11	10.46	55.01	34.35	999999	999999
2860.14	2860.15	4.39	9.35	2.57	1.97	5.49	11.06	57.67	29.88	999999	999999
2860.15	2860.16	3.35	10.05	1	2.03	5.87	8.49	54.71	34.09	999999	999999
2860.16	2860.17	3.43	6.57	1.06	1.83	5.21	8.49	53.68	26.44	999999	999999
2860.17	2860.18	3.49	11.5	2.41	2.07	5.38	10.62	57.52	26.7	999999	999999
2860.18	2860.19	2.66	6.27	0.99	1.5	4.21	6.9	50.56	23.25	999999	999999
2860.19	2860.2	2.65	13.24	0.77	1.61	4.81	8.16	56.49	25.64	999999	999999
2860.2	2860.21	3.33	5.64	1.08	1.77	6.1	7.62	52.34	32.25	999999	999999
2860.21	2860.22	3.56	7.87	2.88	1.99	5.94	8.93	55.45	32.51	999999	999999
2860.22	2860.23	3.35	7.44	1.28	2.21	4.07	8.05	55.75	31.72	999999	999999
2860.23	2860.24	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
2860.24	2860.25	4.01	7.95	1.23	1.72	4.84	9.72	56.28	35	999999	999999
2860.25	2860.26	4.04	7.46	1.16	2.31	5.96	9.95	55.99	39.61	999999	999999
2860.26	2860.27	5.76	8.72	5.16	2.23	7.26	14.22	59.56	46.81	999999	999999
2860.27	2860.28	3.96	11.49	1.44	1.89	5.77	9.95	58.82	35.25	999999	999999
2860.28	2860.29	3.37	9.07	0.9	1.82	4.96	9.83	51.05	33.97	999999	999999
2860.29	2860.3	3.87	5.44	0.96	2.48	6.7	10.12	55.99	51.45	999999	999999
2860.3	2860.31	3.46	9.85	1.41	1.97	6.62	11.34	60.01	40.89	999999	999999
2860.31	2860.32	3.54	6.23	2.83	1.9	5.51	9.66	50.9	38.07	999999	999999
2860.32	2860.33	3.49	6.9	0.66	1.91	5.7	9.89	57.78	33.46	999999	999999
2860.33	2860.34	4.14	5.68	1.39	1.89	5.44	10.18	49.4	39.87	999999	999999
2860.34	2860.35	4.01	9.16	1.83	1.61	5.78	11.45	59.86	31.93	999999	999999
2860.35	2860.36	3.67	5.7	0.85	1.95	6.39	9.72	53	36.02	999999	999999
2860.36	2860.37	4.31	7.3	5.45	2.34	6.28	13.18	50.9	32.7	999999	999999
2860.37	2860.38	4.15	6.05	1.45	1.9	6.16	10.64	57.63	32.95	999999	999999
2860.38	2860.39	3.53	8.73	0.93	1.75	5.32	10.12	60.31	29.13	999999	999999
2860.39	2860.4	3.9	6.39	1.2	1.59	5.07	10.59	50.6	31.16	999999	999999
2860.4	2860.41	4.12	11.54	2.02	1.91	6.8	11.45	54.04	34.49	999999	999999
2860.41	2860.42	3.16	13.45	1.2	3.7	5.76	9.89	54.19	38.33	999999	999999
2860.42	2860.43	3.99	6.4	1.72	1.71	5.54	11.28	55.99	32.7	999999	999999
2860.43	2860.44	3.86	6.19	1.74	2.16	6.21	10.35	55.99	34.74	999999	999999
2860.44	2860.45	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
2860.45	2860.46	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
2860.46	2860.47	3.37	5.7	1.18	2.27	7.73	9.37	57.93	40.38	999999	999999
2860.47	2860.48	3.37	4.47	0.8	1.85	5.96	9.02	56.43	28.87	999999	999999
2860.48	2860.49	3.28	5.22	0.84	1.97	5.64	8.56	57.48	33.46	999999	999999
2860.49	2860.5	3.97	6.73	5.21	1.95	6.35	13.81	59.27	31.68	999999	999999
2860.5	2860.51	3.54	6.5	1.1	2.24	6.79	10.02	62.03	37.99	999999	999999
2860.51	2860.52	3.91	7.94	0.88	2.61	7.17	10.98	63.82	43.38	999999	999999
2860.52	2860.53	3.67	8.82	2.59	2.47	6.91	12.88	66.34	36.11	999999	999999
2860.53	2860.54	3.42	7.03	1.01	1.84	5.8	10.92	63.67	22.72	999999	999999
2860.54	2860.55	3.18	6.32	2.29	1.51	6.72	10.56	52.78	24.84	999999	999999
2860.55	2860.56	3.15	7.94	0.75	1.83	6.01	10.56	65.9	28.6	999999	999999
2860.56	2860.57	3.14	5.43	0.62	2.05	6.12	9.48	61.14	29.07	999999	999999
2860.57	2860.58	2.99	6.89	1.21	2.49	6.59	9.84	62.78	33.3	999999	999999
2860.58	2860.59	3.14	4.97	1.63	1.86	6.42	10.92	61.59	29.77	999999	999999
2860.59	2860.6	3.1	5.98	0.88	2.07	6.03	10.08	63.22	28.83	999999	999999
2860.6	2860.61	4.63	5.49	5.13	2.85	7.21	15.61	60.4	33.3	999999	999999
2860.61	2860.62	3.31	6.09	1.49	2.08	7.66	10.26	59.8	33.3	999999	999999
2860.62	2860.63	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
2860.63	2860.64	3.21	7.51	0.66	1.93	7.16	9.6	59.8	33.77	999999	999999
2860.64	2860.65	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
2860.65	2860.66	3.37	5.74	1.13	1.95	8.49	10.32	58.01	35.64	999999	999999
2860.66	2860.67	3.17	5.9	1.79	2.33	7.43	9.19	58.31	30.48	999999	999999
2860.67	2860.68	2.89	4.54	1.92	1.36	7.15	9.78	57.56	24.13	999999	999999
2860.68	2860.69	2.95	10.02	1.27	1.69	5.78	10.44	63.52	25.78	999999	999999
2860.69	2860.7	2.96	7.66	1.08	1.58	4.8	9.43	59.5	22.01	999999	999999
2860.7	2860.71	3.34	7.79	0.58	1.84	6.16	9.37	58.46	29.54	999999	999999
2860.71	2860.72	3.43	10.13	0.83	1.46	7.56	10.14	60.84	29.07	999999	999999
2860.72	2860.73	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
2860.73	2860.74	2.82	6.65	0.95	1.82	4.16	8.89	59.65	22.96	999999	999999
2860.74	2860.75	2.93	7.4	0.96	2.03	4.46	10.08	58.01	27.42	999999	999999
2860.75	2860.76	4.06	8.39	2.36	2.12	4.3	10.19	59.27	27.07	999999	999999
2860.76	2860.77	3.35	8.46	0.77	1.49	2.82	8.58	60.43	22.4	999999	999999
2860.77	2860.78	3.4	9.65	0.76	1.99	4.44	9.27	62.02	35.66	999999	999999
2860.78	2860.79	3.14	6.96	0.73	1.86	6.09	9.27	61.3	35.66	999999	999999
2860.79	2860.8	3.19	5.46	0.96	1.89	6.81	9.27	57.82	31.98	999999	999999
2860.8	2860.81	3.3	13.58	2.42	3.97	5.21	12.14	59.12	31.73	999999	999999
2860.81	2860.82	4.49	8.95	3.31	1.42	3.8	12.54	61.73	24.36	999999	999999
2860.82	2860.83	3.29	12.64	1.33	2.19	4.6	10.88	60.28	24.61	999999	999999
2860.83	2860.84	3.21	5.85	0.61	2.77	5.25	9.33	58.69	30.26	999999	999999
2860.84	2860.85	2.87	6.2	0.51	2.19	5.09	8.53	59.12	31.98	999999	999999
2860.85	2860.86	2.95	10.45	1.32	1.93	4.62	9.44	62.6	25.59	999999	999999
2860.86	2860.87	3.81	6.5	1.55	1.9	5.42	9.56	57.82	30.01	999999	999999
2860.87	2860.88	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
2860.88	2860.89	3.15	8.85	0.94	1.65	5.07	9.44	60.43	28.29	999999	999999
2860.89	2860.9	2.88	10.15	0.8	1.58	5.02	9.67	61.73	28.05	999999	999999
2860.9	2860.91	3.94	9.51	4.61	1.66	5.39	13.06	57.82	24.61	999999	999999
2860.91	2860.92	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
2860.92	2860.93	999999	999999	999999	999999	999999	999999	999999	999999	999999	999999
2860.93	2860.94	3.89	6.15	1.39	2.75	8.32	10.01	57.96	37.87	999999	999999
2860.94	2860.95	3.07	4.74	0.64	1.82	6.67	8.47	56.51	30.01	999999	999999
2860.95	2860.96	3.12	11.31	0.87	2.42	6.11	9.73	60.14	31.49	999999	999999
2860.96	2860.97	3.49	8.82	1.31	1.97	5.91	9.61	55.93	26.33	999999	999999
2860.97	2860.98	3.28	9.15	1.19	1.93	6.54	9.21	56.65	28.05	999999	999999
2860.98	2860.99	3.3	8.13	1.04	1.89	6.25	9.38	58.54	28.05	999999	999999
2860.99	2861	3.56	8.6	2.31	2.48	5.91	10.82	57.09	29.03	999999	999999
2936	2936.01	45.44	5.46	6.12	29.36	245.37	76.26	81.88	196.2	999999	999999
2936.01	2936.019	43.44	4.46	5.79	24.53	191	74.65	76	170.1	999999	999999
2936.019	2936.029	39.59	3.58	5.36	20.99	155.83	72.01	70.4	147.84	999999	999999
2936.029	2936.038	36.59	4.7	5.74	16.53	122.78	67.93	64.9	134.25	999999	999999
2936.038	2936.048	32.97	5.53	6.24	15.31	104.76	66.74	63.34	121.01	999999	999999
2936.048	2936.057	30.7	5.26	7.15	13.9	88.53	65.8	57.09	109.16	999999	999999
2936.057	2936.067	32.01	5.61	9.83	14.56	97.31	70.74	61.16	119.35	999999	999999
2936.067	2936.076	37.81	6.46	6.53	17.02	120.48	72.19	67.39	133.78	999999	999999
2936.076	2936.086	44.24	3.83	6.69	20.26	165.51	74.82	74.54	170.81	999999	999999
2936.086	2936.095	47.17	4.69	6.41	20.02	164.09	76.17	76.24	165.16	999999	999999
2936.095	2936.105	48.66	4.35	6.2	28.99	244.93	79.15	87.07	206.77	999999	999999
2936.105	2936.114	50.93	5.1	7.42	28.12	245.12	79.87	86.76	202.78	999999	999999
2936.114	2936.124	50.27	4.87	6.39	26.96	230.38	80.23	84.91	206.3	999999	999999
2936.124	2936.133	45.21	5.25	8.58	22.18	182.1	77.66	75.31	176.46	999999	999999
2936.133	2936.143	38.55	5.45	7.28	22.29	170.28	70.63	72.83	161.16	999999	999999
2936.143	2936.152	34.65	5.57	6.38	18.24	134.22	68.14	66.15	136.14	999999	999999
2936.152	2936.162	33.06	5.35	6.08	16.97	126	66.32	65.68	130.24	999999	999999
2936.162	2936.171	33.26	4.73	10.46	16.86	102.39	64.96	62.41	123.85	999999	999999
2936.171	2936.181	41.94	5.14	9.29	19.97	169.65	75.13	71.9	164.92	999999	999999
2936.181	2936.19	45.06	4.95	11.07	21.96	192.68	78.12	72.83	175.52	999999	999999
2936.19	2936.201	40.05	5.16	5.95	20.32	172.83	71.36	72.68	166.57	999999	999999
2936.201	2936.211	44.96	5.12	6.49	22.37	198.63	78.53	73.61	187.28	999999	999999
2936.211	2936.222	41.42	4.64	6.41	21.63	181.32	73.58	70.04	173.4	999999	999999
2936.222	2936.232	40.26	5.03	7.37	18.71	148.86	75.75	65.68	144.17	999999	999999
2936.232	2936.243	51.08	6.35	9.62	29.68	287.04	85.15	83.05	231.63	999999	999999
2936.243	2936.253	56.09	5.55	8.66	37.3	351.13	90.5	90.61	254.1	999999	999999
2936.253	2936.264	57.18	5.82	9.12	38.52	369.73	91.83	90.31	289.61	999999	999999
2936.264	2936.274	48.04	4.88	9.66	24.46	201.67	84.33	67.24	179.75	999999	999999
2936.274	2936.285	55.53	5.64	11.68	31.21	279.05	87.4	74.69	210.06	999999	999999
2936.285	2936.295	56.14	6.1	9.98	35.48	326.57	91.72	83.36	235.37	999999	999999
2936.295	2936.305	65.27	6.38	10.18	39.97	356.69	100.41	88.24	253.41	999999	999999
2936.305	2936.316	60.1	5.24	9.28	40.42	375.77	93.22	91.87	266.32	999999	999999
2936.316	2936.326	59.67	5.38	9.48	39.04	370.65	89.98	90.96	258.63	999999	999999
2936.326	2936.337	52.75	6.46	8.17	31.03	286.32	83.53	82.49	222.49	999999	999999
2936.337	2936.347	41.48	4.97	7.36	19.62	159.85	72.54	67.66	148.88	999999	999999
2936.347	2936.358	40.24	5.99	7.68	22.46	194.07	69.55	70.73	163.71	999999	999999
2936.358	2936.368	37.16	5.24	6.6	18.2	141.95	66.08	67.35	132.34	999999	999999
2936.368	2936.379	41.18	5.24	12.74	17.23	139.19	71.85	66.58	135.37	999999	999999
2936.379	2936.389	35.18	5.98	5.73	16.81	135.97	65.44	65.04	131.4	999999	999999
2936.389	2936.4	39.15	6.29	6.59	19.51	169.23	69.82	68.74	156.07	999999	999999
2936.4	2936.41	40.74	5.35	6.3	21.82	192.27	73.77	70.89	163.94	999999	999999
2936.41	2936.42	52.1	4.52	10.93	21.02	182.73	88.44	74.31	181.4	999999	999999
2936.42	2936.431	53.62	6.06	7.42	27.08	259.71	85.28	82.7	228.61	999999	999999
2936.431	2936.442	48.53	4.67	8.06	20.12	158.73	81.3	68.07	157.06	999999	999999
2936.442	2936.452	47.05	4.11	6.86	22.77	187.77	80.65	69.63	191.7	999999	999999
2936.452	2936.463	41.81	3.6	8.29	23.67	177.32	76.78	66.35	169.25	999999	999999
2936.463	2936.474	41.66	4.82	7.59	19.53	139.63	74.98	62.9	148.77	999999	999999
2936.474	2936.484	47.91	3.24	10.76	22.43	166.91	85.17	65.41	158.45	999999	999999
2936.484	2936.495	49.53	5.55	7.75	27.21	229.67	80.65	76.18	192.39	999999	999999
2936.495	2936.506	57.95	6.17	14.46	32.52	301.33	95.64	85.33	229.52	999999	999999
2936.506	2936.516	53.67	5.33	8.42	33.56	312.36	87.51	87.34	230.66	999999	999999
2936.516	2936.525	50.24	4.28	8.17	26.32	223.24	82.66	75.4	194.21	999999	999999
2936.525	2936.535	46.7	5.24	7.76	20.49	191.96	77.27	73.84	171.77	999999	999999
2936.535	2936.545	43.31	6.61	7.65	23.1	185.5	74.44	73.22	164.88	999999	999999
2936.545	2936.555	40.43	6.35	8.39	22.7	177.19	74.01	68.7	156.6	999999	999999
2936.555	2936.565	36.67	6.4	7.44	21.76	168.12	70.25	66.97	146	999999	999999
2936.565	2936.575	42.63	5.81	7.75	21.67	178.24	74.49	69.16	158.45	999999	999999
2936.575	2936.585	49.24	6.06	8.18	25.08	230.54	83.53	74	227.93	999999	999999
2936.585	2936.596	49.67	4.21	9.48	25.24	201.69	83.75	71.82	172	999999	999999
2936.596	2936.606	56.95	5.39	9.59	42.54	377.58	92.85	95.51	255.82	999999	999999
2936.606	2936.615	56.15	4.39	11.55	34.03	308.82	86.97	84.09	235.43	999999	999999
2936.615	2936.625	46.32	3.43	7.97	25.8	202.01	77.6	68.54	164.2	999999	999999
2936.625	2936.635	43.41	3.03	7.33	24.48	185.68	76.78	66.82	156.6	999999	999999
2936.635	2936.644	44.33	3.29	6.91	24.93	206.01	76.4	67.6	174.3	999999	999999
2936.644	2936.654	50.72	3.14	14.72	23.69	197.71	88.38	70.73	172.46	999999	999999
2936.654	2936.663	47.63	4.33	9.03	23.43	185.35	81.84	70.88	164.2	999999	999999
2936.663	2936.671	45.39	3.3	6.97	18.61	135.18	76.95	65.47	137.6	999999	999999
2936.671	2936.68	46.86	3.69	6.73	22.59	185.73	79.15	72.7	176.68	999999	999999
2936.68	2936.689	50.23	3.82	10.24	29.66	253.9	81.29	82.83	216.93	999999	999999
2936.689	2936.698	49.61	5.74	6.76	26.9	244.25	78.54	80.19	207.23	999999	999999
2936.698	2936.708	40.34	4.48	6.9	21.43	176.8	70.86	71.6	165.07	999999	999999
2936.708	2936.719	33.1	4.11	6.31	15.81	111.01	64.44	62.62	121.23	999999	999999
2936.719	2936.729	39.93	4.25	6.23	24.14	198.95	68.34	74.11	171.34	999999	999999
