Kindler et al., 2014, Clim. Past;;;;;;;;;;;
Temperature reconstruction from 10 to 120 kyr b2k from the NGRIP ice core;;;;;;;;;;;
supplementary data file;;;;;;;;;;;
;;;;;;;;;;;
modelled NGRIP data ;;;;;;;;;;;
'the model was run using the ss09sea06bm time scale (NGRIP members, 2004; Anderson et al., 2006), additionally ages have been transformed to GICC05modelext time scale (Svensson et al., 2008; Wolff et al., 2010)';;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;ss09sea06bm;;GICC05modelext;
depth ;age ss09sea06bm ;age GICC05modelext;accumulation tuned;temperature;;;depth ;ice age;gas age ;ice age;gas age
[m];[yr];[yr];[m ice/yr];[°C];;;[m];[yr];[yr];[yr];[yr]
1624.18;15340;15497;0.053;-46.5;;;1542.01;13155;12442;13309;12637
1624.63;15360;15517;0.052;-46.6;;;1542.23;13161;12451;13314;12645
1625.07;15380;15536;0.051;-46.7;;;1542.45;13167;12461;13319;12653
1625.50;15400;15555;0.050;-46.7;;;1542.71;13174;12471;13325;12662
1625.93;15420;15575;0.050;-46.7;;;1542.94;13180;12481;13330;12671
1626.37;15440;15597;0.051;-46.7;;;1543.16;13186;12491;13335;12680
1626.82;15460;15618;0.051;-46.5;;;1543.39;13192;12501;13340;12688
1627.29;15480;15638;0.052;-46.3;;;1543.65;13199;12511;13347;12697
1627.76;15500;15661;0.052;-46.3;;;1543.88;13205;12521;13352;12705
1628.21;15520;15682;0.051;-46.3;;;1544.15;13212;12531;13359;12713
1628.65;15540;15704;0.050;-46.5;;;1544.39;13218;12541;13365;12721
1629.07;15560;15724;0.049;-46.8;;;1544.66;13225;12551;13371;12729
1629.46;15580;15743;0.049;-46.9;;;1544.94;13232;12561;13378;12737
1629.87;15600;15763;0.050;-46.8;;;1545.22;13239;12571;13384;12747
1630.30;15620;15785;0.052;-46.6;;;1545.50;13246;12581;13391;12758
1630.77;15640;15808;0.055;-46.2;;;1545.82;13254;12591;13398;12768
1631.30;15660;15831;0.058;-45.8;;;1546.15;13262;12601;13405;12779
1631.83;15680;15853;0.060;-45.5;;;1546.48;13270;12611;13413;12791
