Depth (m)	Accum (m ice)	Conf.	Age (yr B.P.)

520.08	0.283	1.5	2207
520.28	0.252	1.5	2208
520.47	0.235	1.5	2209
520.63	0.200	1.5	2210
520.78	0.196	1.5	2211
520.98	0.250	1.5	2212
521.19	0.262	2.5	2213
521.39	0.250	2.5	2214
521.58	0.245	2.5	2215
521.76	0.222	2.5	2216
521.95	0.243	2.5	2217
522.17	0.271	2.5	2218
522.38	0.271	2.5	2219
522.57	0.230	2.5	2220
522.81	0.304	2.5	2221
522.99	0.231	1.5	2222
523.21	0.273	2.5	2223
523.43	0.284	2.5	2224
523.62	0.233	2.5	2225
523.85	0.290	2.5	2226
524.02	0.211	1.5	2227
524.26	0.305	1.5	2228
524.40	0.184	1.5	2229
524.65	0.316	2.5	2230
524.85	0.252	2.5	2231
524.99	0.173	2.5	2232
525.20	0.265	2.5	2233
525.41	0.262	2.5	2234
525.61	0.254	2.5	2235
525.78	0.214	2.5	2236
525.99	0.260	2.5	2237
526.19	0.252	2.5	2238
526.41	0.278	2.5	2239
526.55	0.188	2.5	2240
526.76	0.254	2.5	2241
526.93	0.223	2.5	2242
527.09	0.203	2.5	2243
527.30	0.265	2.5	2244
527.51	0.263	2.5	2245
527.71	0.253	1.5	2246
527.99	0.349	2.5	2247
528.21	0.275	2.5	2248
528.41	0.254	2.5	2249
528.61	0.251	2.5	2250
528.79	0.234	2.5	2251
528.99	0.249	2.5	2252
529.10	0.135	1.0	2253
529.27	0.221	1.5	2254
529.47	0.249	2.5	2255
529.63	0.204	2.5	2256
529.82	0.247	2.5	2257
530.02	0.250	2.5	2258
530.22	0.245	2.5	2259
530.39	0.221	2.5	2260
530.59	0.252	1.5	2261
530.78	0.245	2.5	2262
530.98	0.253	2.5	2263
531.17	0.230	1.5	2264
531.33	0.205	1.5	2265
531.54	0.266	1.5	2266
531.71	0.211	1.5	2267
531.90	0.252	1.5	2268
532.11	0.262	1.5	2269
532.26	0.191	1.5	2270
532.43	0.214	1.5	2271
532.61	0.223	1.5	2272
532.85	0.307	1.5	2273
533.03	0.229	1.5	2274
533.24	0.263	2.5	2275
533.44	0.255	2.5	2276
533.65	0.270	1.5	2277
533.85	0.255	1.5	2278
534.04	0.234	1.5	2279
534.23	0.251	2.5	2280
534.47	0.306	2.5	2281
534.65	0.221	2.5	2282
534.84	0.240	1.5	2283
535.03	0.245	2.5	2284
535.28	0.320	2.5	2285
535.46	0.224	2.5	2286
535.62	0.199	2.5	2287
535.85	0.298	2.5	2288
536.02	0.219	2.5	2289
536.22	0.245	2.5	2290
536.36	0.181	1.5	2291
536.55	0.239	2.5	2292
536.81	0.331	3.0	2293
537.10	0.364	2.5	2294
537.31	0.272	1.5	2295
537.47	0.207	1.5	2296
537.66	0.240	2.5	2297
537.84	0.229	2.5	2298
538.04	0.254	0.0	2299
538.24	0.254	0.0	2300
538.44	0.254	0.0	2301
538.64	0.254	0.0	2302
538.84	0.254	0.0	2303
539.04	0.254	0.0	2304
539.22	0.225	1.5	2305
539.41	0.248	1.5	2306
539.63	0.278	1.5	2307
539.82	0.238	1.5	2308
540.00	0.235	1.5	2309
540.18	0.229	1.5	2310
540.34	0.200	1.5	2311
540.53	0.239	1.5	2312
540.72	0.237	1.5	2313
540.90	0.238	1.5	2314
541.10	0.248	1.5	2315
541.28	0.226	1.5	2316
541.47	0.242	2.5	2317
541.65	0.232	2.5	2318
541.84	0.242	1.5	2319
542.09	0.318	2.5	2320
542.28	0.250	2.5	2321
542.48	0.255	2.5	2322
542.66	0.229	2.5	2323
542.85	0.239	3.0	2324
543.06	0.265	2.5	2325
543.23	0.222	3.0	2326
543.46	0.296	2.5	2327
543.69	0.284	3.0	2328
543.86	0.223	3.0	2329
544.05	0.236	2.5	2330
544.22	0.220	2.5	2331
544.45	0.292	2.5	2332
544.65	0.259	2.5	2333
544.85	0.247	3.0	2334
545.08	0.296	2.5	2335
545.32	0.302	2.5	2336
545.46	0.187	2.5	2337
545.60	0.171	1.0	2338
545.72	0.159	2.5	2339
545.90	0.221	0.0	2340
546.07	0.221	0.0	2341
546.24	0.221	0.0	2342
546.42	0.221	0.0	2343
546.59	0.221	0.0	2344
546.76	0.221	0.0	2345
546.94	0.221	0.0	2346
547.11	0.221	0.0	2347
547.28	0.221	0.0	2348
547.46	0.221	0.0	2349
547.27	0.221	0.0	2350
547.80	0.221	0.0	2351
547.98	0.221	0.0	2352
548.15	0.221	0.0	2353
548.33	0.227	2.5	2354
548.53	0.264	2.5	2355
548.79	0.323	1.5	2356
548.97	0.236	2.5	2357
549.14	0.216	1.5	2358
549.28	0.173	1.0	2359
549.42	0.180	1.5	2360
549.63	0.270	2.5	2361
549.84	0.267	2.5	2362
550.00	0.207	2.5	2363
550.16	0.205	1.5	2364
550.35	0.248	1.5	2365
550.52	0.214	1.5	2366
550.76	0.301	1.5	2367
550.94	0.233	1.5	2368
551.16	0.290	2.5	2369
551.35	0.239	2.5	2370
551.54	0.243	0.0	2371
551.73	0.243	0.0	2372
551.92	0.243	0.0	2373
552.11	0.243	0.0	2374
552.30	0.243	0.0	2375
552.49	0.243	0.0	2376
552.68	0.243	0.0	2377
552.87	0.243	0.0	2378
553.06	0.243	0.0	2379
553.30	0.310	2.5	2380
553.54	0.306	2.5	2381
553.76	0.281	2.5	2382
553.94	0.240	2.5	2383
554.13	0.233	2.5	2384
554.32	0.243	2.5	2385
554.51	0.247	2.5	2386
554.72	0.268	2.5	2387
554.92	0.258	2.5	2388
555.08	0.200	1.5	2389
555.26	0.231	1.5	2390
555.42	0.205	1.5	2391
555.59	0.221	1.5	2392
555.71	0.159	1.5	2393
555.90	0.241	1.5	2394
556.08	0.233	2.5	2395
556.31	0.295	2.5	2396
556.52	0.258	2.5	2397
556.69	0.221	1.5	2398
556.87	0.234	0.0	2399
557.05	0.234	0.0	2400
557.23	0.234	0.0	2401
557.41	0.234	0.0	2402
557.60	0.234	0.0	2403
557.78	0.234	0.0	2404
557.96	0.234	0.0	2405
558.14	0.234	0.0	2406
558.32	0.234	0.0	2407
558.50	0.234	0.0	2408
558.69	0.234	0.0	2409
558.87	0.234	0.0	2410
559.05	0.234	0.0	2411
559.23	0.234	0.0	2412
559.41	0.234	0.0	2413
559.59	0.234	0.0	2414
559.80	0.261	2.5	2415
560.01	0.266	2.5	2416
560.21	0.261	2.5	2417
560.39	0.239	2.5	2418
560.61	0.276	2.5	2419
560.80	0.246	2.5	2420
560.99	0.238	2.5	2421
561.13	0.183	1.5	2422
561.28	0.190	1.5	2423
561.50	0.283	1.5	2424
561.67	0.224	1.5	2425
561.84	0.223	1.5	2426
562.00	0.198	1.0	2427
562.09	0.124	1.5	2428
562.29	0.250	1.5	2429
562.51	0.284	1.5	2430
562.73	0.285	1.5	2431
562.91	0.238	1.5	2432
563.14	0.286	2.5	2433
563.28	0.189	2.5	2434
563.45	0.213	2.5	2435
563.64	0.242	2.5	2436
563.84	0.262	2.5	2437
564.02	0.225	2.5	2438
564.20	0.242	2.5	2439
564.42	0.285	2.5	2440
564.62	0.253	2.5	2441
564.79	0.220	2.5	2442
564.96	0.222	1.5	2443
565.16	0.254	1.5	2444
565.32	0.211	1.5	2445
565.51	0.240	2.5	2446
565.69	0.233	2.5	2447
565.89	0.261	3.0	2448
566.11	0.281	2.5	2449
566.26	0.195	2.5	2450
566.37	0.137	1.5	2451
566.59	0.281	3.0	2452
566.78	0.245	2.5	2453
566.97	0.256	1.5	2454
567.16	0.243	3.0	2455
567.37	0.268	2.5	2456
567.49	0.151	1.5	2457
567.71	0.284	2.5	2458
567.90	0.254	3.0	2459
568.12	0.280	1.5	2460
568.26	0.185	2.5	2461
568.44	0.223	3.0	2462
568.64	0.260	2.5	2463
568.81	0.227	3.0	2464
569.03	0.283	2.5	2465
569.24	0.265	1.0	2466
569.36	0.155	2.5	2467
569.56	0.268	3.0	2468
569.77	0.271	2.5	2469
569.88	0.142	1.5	2470
570.03	0.184	0.0	2471
570.17	0.184	0.0	2472
570.34	0.217	2.5	2473
570.52	0.237	2.5	2474
570.69	0.226	2.5	2475
570.86	0.219	0.0	2476
571.03	0.219	0.0	2477
571.19	0.204	2.5	2478
571.41	0.287	2.5	2479
571.66	0.325	2.5	2480
571.85	0.248	2.5	2481
572.04	0.243	2.5	2482
572.26	0.286	2.5	2483
572.42	0.210	1.0	2484
572.58	0.207	1.5	2485
572.72	0.172	2.5	2486
572.92	0.267	3.0	2487
573.11	0.242	2.5	2488
573.33	0.280	2.5	2489
573.50	0.229	2.5	2490
573.73	0.294	2.5	2491
573.90	0.228	3.0	2492
574.16	0.330	2.5	2493
574.33	0.216	2.5	2494
574.55	0.294	2.5	2495
574.76	0.270	2.5	2496
574.95	0.250	2.5	2497
575.14	0.239	0.0	2498
575.32	0.239	0.0	2499
575.51	0.239	0.0	2500
575.69	0.239	0.0	2501
575.87	0.239	0.0	2502
576.06	0.239	0.0	2503
576.24	0.239	0.0	2504
576.42	0.239	0.0	2505
576.66	0.304	1.5	2506
576.84	0.232	1.5	2507
576.98	0.182	1.0	2508
577.17	0.248	2.5	2509
577.36	0.243	2.5	2510
577.53	0.227	2.5	2511
577.70	0.226	1.5	2512
577.92	0.279	2.5	2513
578.12	0.256	2.5	2514
578.27	0.203	3.0	2515
578.41	0.181	1.5	2516
578.65	0.310	1.5	2517
578.85	0.260	1.5	2518
579.02	0.223	2.5	2519
579.21	0.247	2.5	2520
579.46	0.318	2.5	2521
579.64	0.234	2.5	2522
579.81	0.221	2.5	2523
580.00	0.248	2.5	2524
580.22	0.291	2.5	2525
580.40	0.233	1.5	2526
580.60	0.260	2.5	2527
580.77	0.221	2.5	2528
580.97	0.258	2.5	2529
581.14	0.221	3.0	2530
581.38	0.308	1.0	2531
581.50	0.155	2.5	2532
581.65	0.198	3.0	2533
581.82	0.217	2.5	2534
582.02	0.269	2.5	2535
582.22	0.254	1.0	2536
582.44	0.285	1.0	2537
582.56	0.159	1.0	2538
582.76	0.255	2.5	2539
582.95	0.255	2.5	2540
583.19	0.307	2.5	2541
583.35	0.207	2.5	2542
583.52	0.224	2.5	2543
583.68	0.212	2.5	2544
583.92	0.313	2.5	2545
584.07	0.194	2.5	2546
584.22	0.198	1.5	2547
584.42	0.255	2.5	2548
584.57	0.202	2.5	2549
584.74	0.216	1.5	2550
584.90	0.214	1.5	2551
585.07	0.220	0.0	2552
585.24	0.220	0.0	2553
585.41	0.220	0.0	2554
585.57	0.214	2.5	2555
585.78	0.270	2.5	2556
585.94	0.211	2.5	2557
586.14	0.254	3.0	2558
586.30	0.214	2.5	2559
586.52	0.282	2.5	2560
586.70	0.240	3.0	2561
586.95	0.322	2.5	2562
587.14	0.256	2.5	2563
587.27	0.159	2.5	2564
587.50	0.307	2.5	2565
587.64	0.174	1.5	2566
587.75	0.154	2.5	2567
587.93	0.231	2.5	2568
588.15	0.290	2.5	2569
588.37	0.290	2.5	2570
588.53	0.204	2.5	2571
588.74	0.280	3.0	2572
588.91	0.214	1.5	2573
589.06	0.195	1.5	2574
589.29	0.303	3.0	2575
589.45	0.208	2.5	2576
589.60	0.204	2.5	2577
589.84	0.303	2.5	2578
590.03	0.250	2.5	2579
590.22	0.256	2.5	2580
590.41	0.246	2.5	2581
590.55	0.187	1.0	2582
590.73	0.230	2.5	2583
590.87	0.186	2.5	2584
591.08	0.275	2.5	2585
591.22	0.187	2.5	2586
591.41	0.239	2.5	2587
591.61	0.270	2.5	2588
591.79	0.233	2.5	2589
591.93	0.188	2.5	2590
592.15	0.284	2.5	2591
592.30	0.196	1.5	2592
592.50	0.259	2.5	2593
592.71	0.280	2.5	2594
592.87	0.203	2.5	2595
593.08	0.278	2.5	2596
593.21	0.173	1.0	2597
593.36	0.198	0.0	2598
593.49	0.168	1.5	2599
593.69	0.266	2.5	2600
593.87	0.228	2.5	2601
594.04	0.225	2.5	2602
594.21	0.229	2.5	2603
594.41	0.262	2.5	2604
594.61	0.261	2.5	2605
594.79	0.235	2.5	2606
594.98	0.253	2.5	2607
595.23	0.316	2.5	2608
595.40	0.227	3.0	2609
595.54	0.189	2.5	2610
595.69	0.194	2.5	2611
595.91	0.283	2.5	2612
596.08	0.230	2.5	2613
596.25	0.219	3.0	2614
596.44	0.247	2.5	2615
596.71	0.354	2.5	2616
596.88	0.226	2.5	2617
597.09	0.280	3.0	2618
597.29	0.261	3.0	2619
597.46	0.217	3.0	2620
597.65	0.260	3.0	2621
597.86	0.277	3.0	2622
598.07	0.273	3.0	2623
598.27	0.264	3.0	2624
598.47	0.263	3.0	2625
598.68	0.269	3.0	2626
598.85	0.231	2.5	2627
599.05	0.261	3.0	2628
599.22	0.219	3.0	2629
599.43	0.277	3.0	2630
599.59	0.205	3.0	2631
599.79	0.262	3.0	2632
599.96	0.233	2.5	2633
600.12	0.210	1.5	2634
600.33	0.267	1.5	2635
600.52	0.252	2.5	2636
600.73	0.280	2.5	2637
600.95	0.293	3.0	2638
601.10	0.193	2.5	2639
601.28	0.229	2.5	2640
601.45	0.233	3.0	2641
601.67	0.284	2.5	2642
601.83	0.216	1.5	2643
602.02	0.247	3.0	2644
602.27	0.325	1.5	2645
602.47	0.266	2.5	2646
602.62	0.197	2.5	2647
602.82	0.263	2.5	2648
603.03	0.278	2.5	2649
603.20	0.223	2.5	2650
603.42	0.295	2.5	2651
603.58	0.213	2.5	2652
603.77	0.245	2.5	2653
603.95	0.232	2.5	2654
604.15	0.273	2.5	2655
604.31	0.209	2.5	2656
604.48	0.227	2.5	2657
604.64	0.203	2.5	2658
604.81	0.227	2.5	2659
604.98	0.227	1.5	2660
605.21	0.303	2.5	2661
605.40	0.250	1.5	2662
605.56	0.215	2.5	2663
605.81	0.328	2.5	2664
605.99	0.233	3.0	2665
606.23	0.314	2.5	2666
606.37	0.189	1.0	2667
606.56	0.245	2.5	2668
606.75	0.251	2.5	2669
606.90	0.196	3.0	2670
607.07	0.229	2.5	2671
607.25	0.232	3.0	2672
607.47	0.293	2.5	2673
607.72	0.332	1.5	2674
607.93	0.269	2.5	2675
608.11	0.235	2.5	2676
608.30	0.255	3.0	2677
608.47	0.223	2.5	2678
608.68	0.286	2.5	2679
608.89	0.269	2.5	2680
609.07	0.239	2.5	2681
609.27	0.261	2.5	2682
609.46	0.247	2.5	2683
609.73	0.358	1.5	2684
609.86	0.176	1.5	2685
610.06	0.269	1.0	2686
610.17	0.145	2.5	2687
610.36	0.242	2.5	2688
610.62	0.346	2.5	2689
610.79	0.225	2.5	2690
611.03	0.321	1.5	2691
611.20	0.229	1.5	2692
611.47	0.351	2.5	2693
611.66	0.247	2.5	2694
611.88	0.296	0.0	2695
612.10	0.296	0.0	2696
612.26	0.210	2.5	2697
612.46	0.266	1.5	2698
612.65	0.239	1.5	2699
612.82	0.226	1.5	2700
612.99	0.225	2.5	2701
613.22	0.315	1.5	2702
613.42	0.254	2.5	2703
613.59	0.223	1.5	2704
613.77	0.238	3.0	2705
613.98	0.279	3.0	2706
614.23	0.329	3.0	2707
614.42	0.255	2.5	2708
614.64	0.295	3.0	2709
614.87	0.300	2.5	2710
615.12	0.337	2.5	2711
615.29	0.229	2.5	2712
615.46	0.213	3.0	2713
615.61	0.201	1.5	2714
615.76	0.202	2.5	2715
615.94	0.240	3.0	2716
616.18	0.312	2.5	2717
616.39	0.285	2.5	2718
616.55	0.204	3.0	2719
616.74	0.263	2.5	2720
616.89	0.189	3.0	2721
617.09	0.265	2.5	2722
617.31	0.290	2.5	2723
617.51	0.266	2.5	2724
617.71	0.271	2.5	2725
617.92	0.281	2.5	2726
618.11	0.240	2.5	2727
618.28	0.228	2.5	2728
618.50	0.294	2.5	2729
618.65	0.204	2.5	2730
618.82	0.223	1.5	2731
618.95	0.174	1.5	2732
619.05	0.130	1.5	2733
619.22	0.229	1.5	2734
619.40	0.235	2.5	2735
619.62	0.292	2.5	2736
619.79	0.223	2.5	2737
619.96	0.225	2.5	2738
620.14	0.244	2.5	2739
620.30	0.205	2.5	2740
620.51	0.285	2.5	2741
620.70	0.248	2.5	2742
620.85	0.198	1.5	2743
620.97	0.162	1.5	2744
621.14	0.228	2.5	2745
621.33	0.252	2.5	2746
621.54	0.279	2.5	2747
621.76	0.290	2.5	2748
621.91	0.192	2.5	2749
622.11	0.273	2.5	2750
622.28	0.219	2.5	2751
622.48	0.273	2.5	2752
622.69	0.279	2.5	2753
622.84	0.192	2.5	2754
623.01	0.231	2.5	2755
623.26	0.325	2.5	2756
623.44	0.244	2.5	2757
623.58	0.185	2.5	2758
623.80	0.288	2.5	2759
624.03	0.311	2.5	2760
624.21	0.240	2.5	2761
624.37	0.218	2.5	2762
624.53	0.208	2.5	2763
624.74	0.280	1.5	2764
624.90	0.209	1.5	2765
625.12	0.295	1.5	2766
625.32	0.259	2.5	2767
625.50	0.244	2.5	2768
625.71	0.280	2.5	2769
625.88	0.222	1.5	2770
626.07	0.259	2.5	2771
626.26	0.249	2.5	2772
626.45	0.250	2.5	2773
626.61	0.219	2.5	2774
626.78	0.229	2.5	2775
626.97	0.251	2.5	2776
627.16	0.254	2.5	2777
627.32	0.205	2.5	2778
627.50	0.241	2.5	2779
627.65	0.195	2.5	2780
627.86	0.279	2.5	2781
628.05	0.253	2.5	2782
628.23	0.249	2.5	2783
628.44	0.274	2.5	2784
628.63	0.261	2.5	2785
628.87	0.315	2.5	2786
629.03	0.217	2.5	2787
629.22	0.249	1.5	2788
629.44	0.285	2.5	2789
629.63	0.262	2.5	2790
629.83	0.260	2.5	2791
630.00	0.226	2.5	2792
630.21	0.277	2.5	2793
630.40	0.256	2.5	2794
630.60	0.264	1.5	2795
630.78	0.248	2.5	2796
630.99	0.278	2.5	2797
631.23	0.322	1.5	2798
631.41	0.238	1.5	2799
631.59	0.238	1.5	2800
631.80	0.278	2.5	2801
631.97	0.232	2.5	2802
632.16	0.250	2.5	2803
632.35	0.245	2.5	2804
632.54	0.253	2.5	2805
632.71	0.229	2.5	2806
632.93	0.298	2.5	2807
633.18	0.330	1.5	2808
633.32	0.188	0.0	2809
633.48	0.205	2.5	2810
633.69	0.283	2.5	2811
633.90	0.280	2.5	2812
634.09	0.253	2.5	2813
634.27	0.243	2.5	2814
634.48	0.281	2.5	2815
634.66	0.240	2.5	2816
634.88	0.289	2.5	2817
635.08	0.267	0.0	2818
635.28	0.267	0.0	2819
635.58	0.267	0.0	2820
635.68	0.267	0.0	2821
635.88	0.267	0.0	2822
636.08	0.267	0.0	2823
636.28	0.268	2.5	2824
636.45	0.228	2.5	2825
636.69	0.327	2.5	2826
636.86	0.224	2.5	2827
637.02	0.218	0.0	2828
637.19	0.218	0.0	2829
637.35	0.218	0.0	2830
637.61	0.348	2.5	2831
637.74	0.175	2.5	2832
637.94	0.270	2.5	2833
638.09	0.198	1.5	2834
638.28	0.256	1.5	2835
638.44	0.214	1.5	2836
638.63	0.250	1.5	2837
638.77	0.186	1.5	2838
638.90	0.176	1.5	2839
639.11	0.282	1.5	2840
639.29	0.236	0.0	2841
639.47	0.236	0.0	2842
639.64	0.239	1.5	2843
639.80	0.210	1.5	2844
639.93	0.176	1.5	2845
640.09	0.210	1.5	2846
640.30	0.278	2.5	2847
640.51	0.279	2.5	2848
640.69	0.250	1.5	2849
640.85	0.202	2.5	2850
641.02	0.235	1.5	2851
641.16	0.180	1.5	2852
641.33	0.227	0.0	2853
641.50	0.227	2.5	2854
641.71	0.282	3.0	2855
641.94	0.306	3.0	2856
642.10	0.215	2.5	2857
642.27	0.226	2.5	2858
642.47	0.272	2.5	2859
642.64	0.230	2.5	2860
642.84	0.268	2.5	2861
643.00	0.215	1.5	2862
643.20	0.265	2.5	2863
643.37	0.225	2.5	2864
643.59	0.292	2.5	2865
643.78	0.264	2.5	2866
643.93	0.193	2.5	2867
644.12	0.254	1.5	2868
644.32	0.272	2.5	2869
644.48	0.218	2.5	2870
644.68	0.257	2.5	2871
644.88	0.270	2.5	2872
645.09	0.280	2.5	2873
645.24	0.209	2.5	2874
645.45	0.279	2.5	2875
645.61	0.217	2.5	2876
645.80	0.259	2.5	2877
645.97	0.221	2.5	2878
646.17	0.269	2.5	2879
646.37	0.268	2.5	2880
646.55	0.245	2.5	2881
646.75	0.261	2.5	2882
646.94	0.256	2.5	2883
647.10	0.210	2.5	2884
647.29	0.263	2.5	2885
647.50	0.275	2.5	2886
647.70	0.271	2.5	2887
647.88	0.245	2.5	2888
648.06	0.237	2.5	2889
648.25	0.260	2.5	2890
648.42	0.224	2.5	2891
648.57	0.193	1.0	2892
648.70	0.182	1.5	2893
648.86	0.220	2.5	2894
649.00	0.186	2.5	2895
649.17	0.224	2.5	2896
649.32	0.203	2.5	2897
649.56	0.319	2.5	2898
649.77	0.280	2.5	2899
649.97	0.271	2.5	2900
650.19	0.291	1.5	2901
650.36	0.235	1.5	2902
650.51	0.193	1.5	2903
650.65	0.195	1.5	2904
650.84	0.255	1.5	2905
651.04	0.260	2.5	2906
651.23	0.252	2.5	2907
651.42	0.263	2.5	2908
651.59	0.228	2.5	2909
651.79	0.265	3.0	2910
651.98	0.256	3.0	2911
652.20	0.297	3.0	2912
652.40	0.265	2.5	2913
652.57	0.235	3.0	2914
652.76	0.246	2.5	2915
652.94	0.251	3.0	2916
653.14	0.267	3.0	2917
653.39	0.329	3.0	2918
653.54	0.212	2.5	2919
653.79	0.336	2.5	2920
653.93	0.188	3.0	2921
654.11	0.245	2.5	2922
654.26	0.199	1.5	2923
654.44	0.231	1.5	2924
654.59	0.204	2.5	2925
654.80	0.288	2.5	2926
655.06	0.346	1.5	2927
655.23	0.227	1.5	2928
655.39	0.215	2.5	2929
655.61	0.296	2.5	2930
655.84	0.311	2.5	2931
656.01	0.237	3.0	2932
656.24	0.300	3.0	2933
656.38	0.198	2.5	2934
656.55	0.229	2.5	2935
656.73	0.235	2.5	2936
656.94	0.277	2.5	2937
657.11	0.240	2.5	2938
657.32	0.277	1.5	2939
657.51	0.254	2.5	2940
657.69	0.242	2.5	2941
657.85	0.217	2.5	2942
658.07	0.298	2.5	2943
658.22	0.202	2.5	2944
658.43	0.284	2.5	2945
658.69	0.343	1.5	2946
658.84	0.205	3.0	2947
659.01	0.230	2.5	2948
659.23	0.294	2.5	2949
659.42	0.256	2.5	2950
659.62	0.275	2.5	2951
659.79	0.228	2.5	2952
659.92	0.183	2.5	2953
660.09	0.228	2.5	2954
660.25	0.210	2.5	2955
660.43	0.249	2.5	2956
660.61	0.236	2.5	2957
660.80	0.251	2.5	2958
660.99	0.260	1.5	2959
661.14	0.202	1.5	2960
661.32	0.249	1.5	2961
661.48	0.216	1.5	2962
661.66	0.241	1.5	2963
661.85	0.253	1.5	2964
662.02	0.229	1.5	2965
662.20	0.236	2.5	2966
662.39	0.260	2.5	2967
662.56	0.236	2.5	2968
662.71	0.192	2.5	2969
662.88	0.231	2.5	2970
663.07	0.262	2.5	2971
663.22	0.197	2.5	2972
663.40	0.252	2.5	2973
663.61	0.273	2.5	2974
663.79	0.252	2.5	2975
663.98	0.252	1.5	2976
664.11	0.182	2.5	2977
664.28	0.229	2.5	2978
664.47	0.251	2.5	2979
664.65	0.239	1.5	2980
664.81	0.216	1.5	2981
664.98	0.232	1.5	2982
665.13	0.205	2.5	2983
665.30	0.227	2.5	2984
665.51	0.281	2.5	2985
665.69	0.246	2.5	2986
665.85	0.221	2.5	2987
666.07	0.286	2.5	2988
666.27	0.267	2.5	2989
666.44	0.231	2.5	2990
666.66	0.301	1.5	2991
666.91	0.342	2.5	2992
667.10	0.257	2.5	2993
667.31	0.276	2.5	2994
667.49	0.251	2.5	2995
667.65	0.216	2.5	2996
667.84	0.254	2.5	2997
668.00	0.214	2.5	2998
668.23	0.312	2.5	2999
668.36	0.178	2.5	3000
668.55	0.250	2.5	3001
668.75	0.273	2.5	3002
668.92	0.230	1.5	3003
669.10	0.239	2.5	3004
669.30	0.281	2.5	3005
669.50	0.264	2.5	3006
669.66	0.222	2.5	3007
669.85	0.246	2.5	3008
670.02	0.234	2.5	3009
670.20	0.240	2.5	3010
670.40	0.274	2.5	3011
670.60	0.268	2.5	3012
670.78	0.247	2.5	3013
670.95	0.233	2.5	3014
671.14	0.262	1.5	3015
671.29	0.199	2.5	3016
671.51	0.304	2.5	3017
671.71	0.262	2.5	3018
671.92	0.293	2.5	3019
672.09	0.223	1.5	3020
672.25	0.221	1.5	3021
672.43	0.246	1.5	3022
672.59	0.219	1.5	3023
672.77	0.247	1.5	3024
672.97	0.270	1.5	3025
673.14	0.234	2.5	3026
673.32	0.238	2.5	3027
673.56	0.332	2.5	3028
673.74	0.246	2.5	3029
673.94	0.268	2.5	3030
674.12	0.235	1.5	3031
674.31	0.265	2.5	3032
674.49	0.250	2.5	3033
674.67	0.244	2.5	3034
674.85	0.238	2.5	3035
675.02	0.237	1.5	3036
675.16	0.192	1.5	3037
675.36	0.270	2.5	3038
675.57	0.283	2.5	3039
675.77	0.270	2.5	3040
675.99	0.307	2.5	3041
676.17	0.244	2.5	3042
676.32	0.202	2.5	3043
676.57	0.348	1.5	3044
676.79	0.288	1.5	3045
676.99	0.274	2.5	3046
677.15	0.220	2.5	3047
677.31	0.224	2.5	3048
677.51	0.263	2.5	3049
677.64	0.184	1.5	3050
677.84	0.277	2.5	3051
677.99	0.202	2.5	3052
678.17	0.247	2.5	3053
678.34	0.232	2.5	3054
678.54	0.275	1.5	3055
678.70	0.217	2.5	3056
678.90	0.275	2.5	3057
679.05	0.196	1.5	3058
679.24	0.261	2.5	3059
679.47	0.321	2.5	3060
679.66	0.260	2.5	3061
679.85	0.260	2.5	3062
679.98	0.178	2.5	3063
680.13	0.198	1.5	3064
680.26	0.185	1.5	3065
680.42	0.219	1.5	3066
680.55	0.178	1.5	3067
680.69	0.192	1.5	3068
680.88	0.260	1.5	3069
681.08	0.267	2.5	3070
681.27	0.267	3.0	3071
681.44	0.226	2.5	3072
681.63	0.267	2.5	3073
681.86	0.315	2.5	3074
682.04	0.247	0.0	3075
682.22	0.247	0.0	3076
682.40	0.247	2.5	3077
682.57	0.233	2.5	3078
682.73	0.220	2.5	3079
682.93	0.275	2.5	3080
683.18	0.343	2.5	3081
683.33	0.206	2.5	3082
683.56	0.316	2.5	3083
683.72	0.213	2.5	3084
683.92	0.282	2.5	3085
684.06	0.192	1.5	3086
684.23	0.234	2.5	3087
684.41	0.241	3.0	3088
684.57	0.220	2.5	3089
684.72	0.206	2.5	3090
684.89	0.234	2.5	3091
685.04	0.213	2.5	3092
685.19	0.206	2.5	3093
685.37	0.248	2.5	3094
685.51	0.186	2.5	3095
685.68	0.241	2.5	3096
685.91	0.317	2.5	3097
686.12	0.289	2.5	3098
686.35	0.317	2.5	3099
686.52	0.227	2.5	3100
686.74	0.303	2.5	3101
686.88	0.200	2.5	3102
687.05	0.228	2.5	3103
687.21	0.221	2.5	3104
687.40	0.262	0.0	3105
687.58	0.255	1.5	3106
687.76	0.242	2.5	3107
687.94	0.248	2.5	3108
688.11	0.242	2.5	3109
688.30	0.255	2.5	3110
688.45	0.214	1.5	3111
688.62	0.235	1.5	3112
688.83	0.290	0.0	3113
689.04	0.290	2.5	3114
689.18	0.194	2.5	3115
689.38	0.277	1.5	3116
689.53	0.207	2.5	3117
689.72	0.256	2.5	3118
689.94	0.311	2.5	3119
690.09	0.208	1.5	3120
690.23	0.187	1.5	3121
690.45	0.311	1.5	3122
690.62	0.235	1.5	3123
690.78	0.215	1.5	3124
690.96	0.249	1.5	3125
691.15	0.270	1.5	3126
691.31	0.222	1.5	3127
691.46	0.201	1.5	3128
691.62	0.222	1.5	3129
691.76	0.201	2.5	3130
691.94	0.243	2.5	3131
692.14	0.277	2.5	3132
692.31	0.236	2.5	3133
692.47	0.229	0.0	3134
692.63	0.222	1.5	3135
692.80	0.229	1.5	3136
692.94	0.201	1.5	3137
