GISP2-D Borehole Diameter

REFERENCES: 

Clow, G.D., R.W. Saltus, and E.D. Waddington. 1996. A new high-precision
borehole-temperature logging system used at GISP2, Greenland, and Taylor
Dome, Antarctica. Journal of Glaciology 42:576-584.

Gundestrup, N.S., H.B. Clausen, and B.L. Hansen. 1994. The UCPH borehole
logger. Mem. National Institute Polar Research, Special Issue 49:224-233.

DATA DESCRIPTION:

The diameter of the 3-km borehole (GISP-D) at the GISP2 site was measured
during 1993, 1994, and 1995 using University of Copenhagen's geophysical
logging system (UCPH); the UCPH logging system is described in Gundestrup
et al.(1994). 

The data in this file correspond to the minimum and maximum diameters
detected by the upper calipers on the UCPH logging tool during the most
recent borehole deformation experiment (1 July, 1995).  These data, and
those from previous years, are described in Clow and Gundestrup, (1997). 

==================================================================	
name	parameter	units	
------------------------------------------------------------------	
TVD	true vertical depth	m	
UC_max	maximum diameter	mm	
UC_min	minimum diameter	mm	
==================================================================		

DATA:

TVD	UC_max	UC_min
367.24	182.4	181.95
368.28	182.5	181.95
368.97	182.5	182.3
370.01	182.4	182.3
370.18	182.45	182.3
370.88	182.4	182.3
371.45	182.4	182.3
373.01	183.04	182.3
373.19	182.95	182.45
374.17	182.6	182.45
374.74	182.7	182.5
375.61	183.14	182.65
377	183.14	182.95
377.35	182.95	182.9
377.52	182.85	182.65
378.56	182.65	182.3
379.94	182.4	182.3
380.29	182.5	182.3
380.98	183	182.4
381.68	183.33	182.85
382.37	183.33	182.9
383.23	183.19	182.9
384.28	183.19	182.95
384.97	183	182.85
385.49	183	182.85
386.53	183.33	182.8
387.05	183.28	183.09
387.91	183.28	183.04
389.47	183.04	182.7
390.34	183	182.45
391.03	184.03	182.7
391.72	183.57	182.45
392.59	182.95	182.5
393.45	182.65	182.4
394.14	182.65	182.4
395.01	182.95	182.3
395.87	182.45	182.2
396.56	182.3	182.25
397.26	182.4	182.25
398.12	182.6	182
398.81	183.09	182.1
400.54	183.14	182.95
400.89	183	182.65
401.24	183.14	181.9
401.8	181.95	181.9
402.45	181.95	181.84
402.49	181.69	181.69
402.66	181.95	181.43
403.53	182.05	181.43
404.22	182.05	181.9
405.09	182	181.84
405.95	181.95	181.84
406.47	182	181.84
407.51	181.9	181.84
408.2	181.95	181.79
409.06	181.84	181.69
409.92	181.84	181.69
410.62	181.74	181.64
411.48	181.69	181.53
412.34	181.64	181.53
413.73	181.79	181.58
414.07	181.9	181.69
414.59	181.84	181.69
415.45	181.9	181.69
416.49	181.9	181.74
417.01	181.9	181.74
418.05	181.9	181.69
418.73	181.9	181.69
420.12	181.79	181.69
420.98	181.79	181.64
421.15	181.74	181.58
421.84	181.95	181.64
422.71	182.3	181.69
423.57	182.65	182.15
424.95	182.8	182.35
425.81	183.19	182.5
426.5	182.7	182.45
426.68	182.65	182.3
427.37	182.4	182.3
428.05	182.45	182.4
428.23	182.45	182.4
428.4	182.5	182.35
428.92	182.45	182.3
429.78	182.35	182
430.47	182.3	182
431.33	182.4	182
432.71	182.55	182.05
433.58	182.7	182.45
433.75	182.75	182.3
434.61	183.33	182
435.13	182.05	181.48
436.85	181.58	181.48
437.71	181.53	181.43
438.58	181.58	181.43
439.26	181.48	181.43
440.82	182	181.43
441.85	182.1	181.84
441.9	182.1	181.95
442.41	182.1	182
443.4	182.15	182
444.09	182.45	182.05
444.65	182.45	182.2
445.34	182.55	182.05
446.89	182.45	182.05
447.06	182.15	181.95
448.27	183.28	181.95
448.79	188.28	182
449.82	182.05	181.84
450.51	181.95	181.79
451.2	182.05	181.79
452.75	182.6	181.95
453.44	181.84	181.79
453.61	181.53	181.43
453.78	181.74	181.43
454.64	181.69	181.58
454.81	181.69	181.58
455.85	181.69	181.43
456.71	181.53	181.43
457.91	182.2	181.64
458.43	182.5	182
