GISP2 Thin Sections

REFERENCE:

Alley, R.B., A.J. Gow, D.A. Meese, J.J. Fitzpatrick, E.D. Waddington, and
J.F. Bolzan. 1997. Grain-scale processes, folding, and stratigraphic
disturbance in the GISP2 ice core. Journal of Geophysical Research
102:26819-26830.

Alley, R.B., and G.A. Woods. 1996. Impurity influence on normal grain
growth in the GISP2 ice core, Greenland. Journal of Glaciology 42:255-260.

Alley, R.B., A.J. Gow, and D.A. Meese. 1995. Mapping c-axis fabrics to
study physical processes in ice. Journal of Glaciology 41:197-203.

Anandakrishnan, S., J.J. Fitzpatrick, R.B. Alley, A.J. Gow, and D.A. Meese.
1995. Shear-wave detection of asymmetric c-axis fabrics in the GISP2 ice
core, Greenland. Journal of Glaciology 40:491-496.

DATA DESCRIPTION:

Vertical thin sections from the GISP2 core were examined on the Rigsby
stage for c-axis orientation.  Data are given by depth, and then the
theta, phi and grain number.  Grain number is an identification.  Theta
and phi are the orientation of the c-axis of the grain relative to the
symmetry axis of the core (i.e. vertical); note that this means that the
c-axes have been rotated so that phi=0 is vertical, with phi the
inclination of the c-axis from vertical.  Theta is the azimuth, and the
zero is arbitrary (the core was not oriented when collected) although all
grains in a single thin section have the same zero azimuth. 

Following the entire file for a thin section is a group of files.  These
are given as the coordinates at which a c-axis plots on an equal area net,
followed by the grain number.  They are grouped in stripes, horizontals,
and normal grains.  As described in the manuscript, the thin sections
contained dark-looking regions because the grains have near-vertical
c-axes, inclined stripes of grains with inclined c-axes, and horizontal
layers with some grains having inclined c-axes.  A thin section may have
one or more stripes, etc.  Not all grains were classified in all cases,
and in some cases a grain may have been counted more than once (say, if it
fell at the intersection of two stripes). 

DATA:

Thin section: 2202 m
theta	phi	grain number
0.194	0.426	42
-2.939	0.334	43
-0.215	0.316	44
-2.011	0.531	45
-0.136	0.128	46
-3.286	0.349	47
-3.22	0.419	48
-0.5	0.675	49
-2.505	0.204	50
-0.044	0.382	51
-0.874	0.586	52
-2.016	0.212	53
1.198	0.15	54
-1.571	0.262	55
-0.45	0.488	56
-2.836	0.229	57
0	0.127	58
-4.063	0.303	59
-3.327	0.444	60
-2.488	0.114	61
-0.775	0.876	62
-2.695	0.121	63
-3.356	0.242	64
-3.615	0.369	65
0.963	0.127	66
-2.907	0.149	67
-2.694	0.081	68
-3.266	0.513	69
-3.286	0.349	70
-3.025	0.292	71
-0.565	0.194	72
0.447	0.081	73
-0.615	0.268	74
-2.875	0.491	75
-2.933	0.167	76
-0.858	0.251	77
-1.137	0.306	78
-1.845	0.271	79
-1.626	0.332	80
-2.796	0.348	81
-1.1	0.684	82
-0.878	0.757	83
-0.501	0.417	84
-3.377	0.075	85
-2.909	0.224	86
-3.995	0.364	87
-0.981	0.23	88
-1.551	1.169	89
-4.384	0.403	90
-3.684	0.298	91
-2.776	0.331	92
-1.46	0.334	93
-1.224	0.622	94
-3.853	0.289	95
-0.5	1.537	96
-1.496	1.327	97
-3.63	0.759	98
-3.441	0.343	99
-4.227	0.615	100
-1.398	0.213	101
-3.142	0.091	102
-2.313	0.189	103
-2.933	0.167	104
-3.074	0.255	105
-2.181	0.191	106
-2.898	0.582	107
-2.454	0.655	108
-2.602	0.362	109
-1.675	0.175	110
-1.719	0.124	111
-2.107	0.361	112
-2.65	0.289	113
-4.064	0.366	114
0.661	1.28	115
-3.323	0.369	116
-3.044	0.493	117
-0.969	0.982	118
-1.09	0.118	119
-2.788	0.625	120
-3.033	0.31	121
-3.023	0.146	122
-1.273	1.354	123
-2.302	0.163	124
-1.089	0.157	125
-1.411	0.23	126
-4.029	0.697	127
-1.608	0.506	128
-4.4	0.238	129
-4.233	0.039	130
-4.104	0.127	131
-1.53	1.082	132
-1.717	1.433	133
-3.827	0.164	134
-1.365	0.089	135
-0.537	0.739	136
-1.233	0.277	137
-2.377	0.076	138
-2.177	0.064	139
-1.699	0.44	140
-2.105	0.477	141
-1.8	0.411	142
-3.971	0.326	143
-2.236	0.515	144
-3.277	0.128	145
-1.044	0.181	146
-1.122	1.206	147
-3.298	0.221	148
-4.104	0.127	149
-2.565	0.283	150
-1.975	0.377	151
-1.809	0.394	152
-2.377	0.101	153
-1.573	0.07	154
-2.672	0.265	155
-3.451	0.114	156
-3.796	0.114	157
-3.419	0.189	158
-1.389	1.123	159
-4.214	0.469	160
-1.737	0.336	161
-1.224	0.622	162
-1.513	0.681	163
-4.153	0.103	164
-3.025	0.292	165
-2.745	0.699	166
-3.761	1.34	167
-2.432	0.264	168
-1.372	0.969	169
-2.672	0.535	170
-0.992	0.166	171
-2.95	0.352	172
-2.7	0.241	173
-1.899	0.403	174
-2.186	0.519	175
-1.459	0.945	176
-3.859	1.235	177
-3.812	0.303	178
-1.875	0.183	179
-3.915	0.977	180
-0.785	0.888	181
-0.785	0.888	182
-2.927	0.242	183
-1.15	0.134	184
-1.611	0.472	185
-3.592	0.385	186
-2.379	0.151	187
-1.022	0.795	188
-3.605	1.188	189
-1.385	0.514	190
-1.422	0.247	191
-1.512	0.315	192
-4.104	0.127	193
-3.508	0.097	194
-3.885	1.416	195
-1.135	1.523	196
-1.467	0.175	197
-3.819	0.572	198
-2.997	0.238	199
-3.905	0.126	200


Thin section: 2921 m		
Stripe 1		
x	y	 grain number
0.78	-0.015	89
-0.268	0.091	90
-0.108	0.18	91
0.471	-0.863	96
0.869	-0.065	97
-0.246	0.463	98
-0.071	0.231	99
-0.379	0.2	100
0.148	-0.026	101
0	0.064	102
-0.205	0.155	114
-0.518	-0.667	115
-0.047	0.255	116
0.034	0.343	117
0.55	-0.377	118

Stripe 2		
x	y	grain number
-0.538	0.617	177
-0.133	0.167	178
0.123	0.039	179
-0.464	0.475	180
0.429	-0.43	181
0.429	-0.43	182
0.221	-0.013	192
-0.622	0.677	195
0.885	-0.412	196
0.123	-0.013	197
-0.25	0.311	198
0.024	0.166	199

Normal grains		
x	y	grain number
0.083	0.218	92
0.234	-0.026	93
0.407	-0.147	94
-0.133	0.154	95
0.098	0.09	103
0.024	0.115	104
0.012	0.179	105
0.111	0.077	106
0.098	0.394	107
0.289	0.352	108
0.131	0.218	109
0.123	0.013	110
0.087	0.013	111
0.218	0.13	112
0.096	0.18	113
0.074	-0.039	119
0.151	0.408	120
0.024	0.217	121
0.012	0.102	122
0.847	-0.26	123
0.086	0.077	124
0.098	-0.051	125
0.16	-0.026	126
-0.374	0.305	127
0.354	0.013	128
-0.16	0.052	129
-0.024	0.013	130
-0.074	0.051	131
0.728	-0.03	132
0.919	0.135	133
-0.073	0.09	134
0.062	-0.013	135
0.261	-0.439	136
0.184	-0.065	137
0.037	0.039	138
0.037	0.026	139
0.306	0.039	140
0.288	0.17	141
0.281	0.066	142
-0.169	0.155	143
0.283	0.222	144
-0.012	0.09	145
0.11	-0.064	146
0.723	-0.348	147
-0.024	0.154	148
-0.074	0.051	149
0.109	0.167	150
0.244	0.104	151
0.269	0.065	152
0.049	0.052	153
0.049	0	154
0.085	0.167	155
-0.025	0.077	156
-0.049	0.064	157
-0.037	0.128	158
0.741	-0.136	159
-0.289	0.157	160
0.233	0.039	161
0.407	-0.147	162
0.471	-0.027	163
-0.062	0.039	164
0.024	0.204	165
0.187	0.447	166
-0.51	0.715	167
0.121	0.141	168
0.646	-0.13	169
0.169	0.333	170
0.098	-0.064	171
0.047	0.243	172
0.073	0.154	173
0.268	0.091	174
0.296	0.209	175
0.64	-0.072	176
0.036	0.167	183
0.086	-0.039	184
0.33	0.013	185
-0.118	0.244	186
0.074	0.077	187
0.467	-0.286	188
-0.354	0.708	189
0.353	-0.066	190
0.172	-0.026	191
-0.074	0.051	193
-0.025	0.064	194
-0.062	0.064	200

Small grains in lower part of section		
x	y	 grain number
0.012	-0.179	14
0.097	0.141	15
0.159	-0.091	16
0.328	-0.237	17
-0.157	0.168	18
0.196	-0.091	20
0.123	-0.09	21
0.022	0.355	23
-0.097	0.154	24
0.46	-0.054	25
0.037	0.09	26
0.079	0.331	27
-0.262	0.694	28
-0.406	0.44	29
0.079	0.344	30
0.06	0.192	31
0.059	0.243	32
-0.012	0.013	33
-0.012	0.064	34
0.012	0.025	35
0.434	-0.094	36
0.262	0.195	37
0.389	-0.067	38
0.157	0.168	39
0.225	-0.411	49
0.086	0.116	50
0.012	-0.268	51
0.313	-0.262	52
0.135	0.064	53
-0.099	-0.039	54
0.185	0	55
0.149	-0.308	56
0.049	0.154	57
0	-0.09	58
-0.17	0.129	59
-0.057	0.306	60
0.049	0.064	61
0.42	-0.429	62
0.037	0.077	63
-0.036	0.167	64
-0.118	0.231	65
-0.074	-0.051	66
0.024	0.102	67
0.025	0.052	68
-0.045	0.356	69
-0.035	0.243	70

Big grains in lower part of section		
x	y	 grain number
0	0.293	1
0.046	-0.293	2
0.192	-0.194	3
0.037	0.064	4
0.237	-0.399	5
0.08	0.319	6
0.047	0.255	7
0.024	-0.23	8
0.069	0.294	9
0.024	-0.23	10
0.035	-0.268	11
-0.021	-0.405	12
0.011	-0.393	13
0.183	-0.104	19
0.023	0.318	22
-0.024	-0.204	40
-0.058	-0.281	41
-0.058	-0.293	42
0.047	0.23	43
0.047	-0.217	44
0.336	0.158	45
0.012	-0.09	46
-0.035	0.243	47
-0.023	0.293	48
0.225	-0.411	49
0.073	-0.116	72
-0.025	-0.052	73
0.109	-0.154	74
0.091	0.332	75
0.196	-0.091	78
0.184	0.052	79
0.233	0.013	80
0.083	0.23	81
0.423	-0.215	82
0.402	-0.334	83
0.141	-0.257	84
-0.012	0.052	85
-0.193	0.168	87
0.135	-0.09	88
0.234	-0.026	93
