Depth	ECM	Age
Top (m)	(microeq./kg)	Top (yr BP)

376.2	0.96	1612
376.75	0.89	1615
377.3	0.94	1618
377.85	1.07	1621
378.4	1.1	1624
378.95	0.9	1626
379.5	1.18	1629
380.05	1.32	1632
380.6	1.2	1635
381.15	1.52	1638
381.7	1.55	1640
382.25	1.15	1643
382.8	1.29	1647
383.35	1.97	1649
383.9	1.75	1652
384.45	1.82	1655
385	1.54	1658
385.55	1.08	1661
386.1	1.11	1663
386.65	1.12	1666
387.2	1.21	1669
387.75	0.92	1672
388.3	0.89	1675
388.85	1.16	1678
389.4	1.71	1680
389.95	1.09	1683
390.5	1.5	1686
391.05	1.29	1688
391.6	1.56	1691
392.15	1.28	1694
392.7	1.25	1697
393.25	1.22	1700
393.8	1.63	1702
394.35	1.13	1705
394.9	1.35	1708
395.45	1.11	1711
396	1.27	1713
396.55	1.2	1716
397.1	1.05	1719
397.65	0.83	1722
398.2	0.84	1725
398.75	1.15	1728
399.3	1.05	1731
399.85	1.01	1734
400.4	1.1	1737
400.95	0.82	1739
401.5	1.01	1742
402.05	1.29	1745
402.6	1.34	1748
403.15	1.1	1751
403.7	0.99	1754
404.25	1.08	1757
404.8	1.15	1760
405.35	1.75	1763
405.9	1.34	1765
406.45	0.91	1768
407	1.15	1771
407.55	1.03	1774
408.1	0.96	1776
408.65	1.31	1779
409.2	0.94	1782
409.75	1.29	1785
410.3	1.18	1788
410.85	1.24	1791
411.4	0.99	1794
411.95	1.46	1797
412.5	1.6	1800
413.05	2.24	1803
413.6	1	1806
414.15	1.02	1809
414.7	1.08	1811
415.25	0.82	1814
415.8	1.21	1817
416.35	1.06	1820
416.9	1.1	1823
417.45	1.27	1825
418	1.45	1828
418.55	1	1831
419.1	1.12	1834
419.65	1.32	1837
420.2	1.66	1839
420.75	1.36	1843
421.3	1.49	1845
421.85	1.25	1848
422.4	1.28	1851
422.95	1.2	1854
423.5	0.99	1857
424.05	1.28	1859
424.6	1.19	1862
425.15	1.2	1865
425.7	1.31	1868
426.25	1.17	1871
426.8	1.22	1873
427.35	1.01	1876
427.9	1.43	1879
428.45	1.37	1882
429	1.56	1885
429.55	1.1	1887
430.1	0.78	1890
430.65	1.26	1893
431.2	1.25	1896
431.75	1.11	1898
432.3	1.02	1901
432.85	1.29	1904
433.4	1.55	1906
433.95	1.71	1909
434.5	1.64	1912
435.05	1.22	1915
435.6	1.12	1918
436.15	1.11	1921
436.7	1.12	1924
437.25	1.04	1926
437.8	1.46	1929
438.35	0.89	1932
438.9	1.17	1934
439.45	1.26	1937
440	1.3	1940
440.55	1.28	1943
441.1	0.93	1946
441.65	0.94	1949
442.2	1.24	1952
442.75	1.22	1955
443.3	1.33	1957
443.85	1.5	1960
444.4	2.2	1963
444.95	1.9	1966
445.5	1.43	1969
446.05	1.66	1972
446.6	1.38	1975
447.15	1.18	1978
447.7	1.1	1980
448.25	1.22	1983
448.8	1.15	1986
449.35	1.3	1989
449.9	1.31	1992
450.45	1.83	1995
451	1.61	1997
451.55	1.51	2000
452.1	1.61	2003
452.65	0.85	2006
453.2	1.25	2008
453.75	1.33	2011
454.3	1.17	2014
454.85	3.32	2017
